location,latitude,longitude,pm2_5,pm10,no2,co,so2,o3,timestamp,temperature,humidity,wind_speed,wind_direction,hour,day
Bangalore,12.9716,77.5946,65,64,25,248,17,73,2026-03-28 11:18:08.512829,35,40,1.3191947200576457,149,11,28
Visakhapatnam,17.6868,83.2185,42,32,16,275,9,69,2026-03-28 12:18:08.505468,33,66,3.1240691215561185,319,12,28
Mumbai,19.076,72.8777,31,145,8,257,22,30,2026-03-28 12:18:08.506439,30,41,6.972801527881731,33,12,28
Delhi,28.7041,77.1025,64,74,29,305,8,23,2026-03-28 12:18:08.507834,27,66,4.545522616055195,237,12,28
Jammu and Kashmir,34.0837,74.7973,115,32,49,158,23,27,2026-03-28 12:18:08.509276,37,66,6.111614721092417,137,12,28
Hyderabad,17.385,78.4867,65,128,41,264,29,76,2026-03-28 12:18:08.511179,20,63,4.772468779676151,280,12,28
Bangalore,12.9716,77.5946,102,91,33,329,3,37,2026-03-28 12:18:08.512822,31,52,6.462096619657772,104,12,28
Visakhapatnam,17.6868,83.2185,103,147,30,164,15,45,2026-03-28 13:18:08.505465,22,62,1.712875488291743,308,13,28
Mumbai,19.076,72.8777,61,115,10,263,3,58,2026-03-28 13:18:08.506434,39,70,4.743578234835894,224,13,28
Delhi,28.7041,77.1025,21,127,49,153,21,71,2026-03-28 13:18:08.507831,21,50,2.873969937409917,116,13,28
Jammu and Kashmir,34.0837,74.7973,113,135,18,203,30,10,2026-03-28 13:18:08.509270,32,45,6.569807572304864,2,13,28
Hyderabad,17.385,78.4867,53,147,48,111,10,71,2026-03-28 13:18:08.511172,27,72,6.290574713718299,259,13,28
Bangalore,12.9716,77.5946,113,126,6,184,24,74,2026-03-28 13:18:08.512816,38,61,4.15922361365582,339,13,28
Visakhapatnam,17.6868,83.2185,87,128,11,239,7,47,2026-03-28 14:18:08.505461,31,45,2.175140257850128,290,14,28
Mumbai,19.076,72.8777,62,103,16,244,30,52,2026-03-28 14:18:08.506431,21,56,8.288999229734868,133,14,28
Delhi,28.7041,77.1025,40,44,16,151,9,38,2026-03-28 14:18:08.507828,22,83,4.932067864212787,302,14,28
Jammu and Kashmir,34.0837,74.7973,86,41,25,232,4,11,2026-03-28 14:18:08.509263,20,47,9.577746769816518,17,14,28
Hyderabad,17.385,78.4867,98,141,24,161,11,70,2026-03-28 14:18:08.511165,25,64,7.093731934173084,349,14,28
Bangalore,12.9716,77.5946,53,60,40,385,12,11,2026-03-28 14:18:08.512809,39,66,2.7381973477805253,51,14,28
Visakhapatnam,17.6868,83.2185,48,72,11,100,30,42,2026-03-28 15:18:08.505458,27,56,1.019928999382286,56,15,28
Mumbai,19.076,72.8777,115,87,41,330,8,31,2026-03-28 15:18:08.506427,35,85,9.157005972204024,112,15,28
Delhi,28.7041,77.1025,45,113,18,285,28,69,2026-03-28 15:18:08.507824,35,66,2.749978351987385,251,15,28
Jammu and Kashmir,34.0837,74.7973,94,42,13,317,24,63,2026-03-28 15:18:08.509257,39,69,4.736219552795677,66,15,28
Hyderabad,17.385,78.4867,92,87,48,170,18,75,2026-03-28 15:18:08.511158,21,53,5.167083903168819,108,15,28
Bangalore,12.9716,77.5946,100,83,45,156,23,72,2026-03-28 15:18:08.512801,39,89,2.4791415841319924,7,15,28
Visakhapatnam,17.6868,83.2185,36,37,5,230,28,66,2026-03-28 16:18:08.505452,35,51,1.5348766991105391,273,16,28
Mumbai,19.076,72.8777,23,83,26,216,19,56,2026-03-28 16:18:08.506423,26,86,2.55035547664165,333,16,28
Delhi,28.7041,77.1025,99,116,30,161,27,62,2026-03-28 16:18:08.507819,23,72,6.582459691240512,100,16,28
Jammu and Kashmir,34.0837,74.7973,49,40,49,285,8,29,2026-03-28 16:18:08.509250,35,76,1.8717334794200384,291,16,28
Hyderabad,17.385,78.4867,96,69,22,217,11,44,2026-03-28 16:18:08.511152,26,47,4.466924893032186,221,16,28
Bangalore,12.9716,77.5946,43,122,42,328,16,60,2026-03-28 16:18:08.512796,29,51,2.407785368028546,75,16,28
Visakhapatnam,17.6868,83.2185,92,32,41,247,10,59,2026-03-28 17:18:08.505446,26,77,5.2092829072247815,267,17,28
Mumbai,19.076,72.8777,38,40,10,256,23,69,2026-03-28 17:18:08.506420,40,90,5.094161770402222,110,17,28
Delhi,28.7041,77.1025,72,57,44,228,8,35,2026-03-28 17:18:08.507816,34,75,4.962846806266057,80,17,28
Jammu and Kashmir,34.0837,74.7973,51,119,29,367,23,29,2026-03-28 17:18:08.509244,28,88,3.2977551762311146,353,17,28
Hyderabad,17.385,78.4867,33,101,49,221,25,66,2026-03-28 17:18:08.511145,35,72,4.012540463186537,184,17,28
Bangalore,12.9716,77.5946,93,82,14,377,7,54,2026-03-28 17:18:08.512789,31,53,9.88715552530386,121,17,28
Visakhapatnam,17.6868,83.2185,102,109,28,337,26,51,2026-03-28 18:18:08.505440,26,62,4.816129631238656,210,18,28
Mumbai,19.076,72.8777,65,58,18,255,25,17,2026-03-28 18:18:08.506417,25,52,3.752338598403498,346,18,28
Delhi,28.7041,77.1025,105,89,5,325,18,10,2026-03-28 18:18:08.507812,32,57,7.278073674987633,87,18,28
Jammu and Kashmir,34.0837,74.7973,67,119,13,311,10,74,2026-03-28 18:18:08.509227,23,65,3.7927774095456983,41,18,28
Hyderabad,17.385,78.4867,27,128,48,367,30,33,2026-03-28 18:18:08.511138,20,89,2.089651657189921,282,18,28
Bangalore,12.9716,77.5946,20,148,34,195,20,57,2026-03-28 18:18:08.512783,40,46,9.419892274104289,357,18,28
Visakhapatnam,17.6868,83.2185,116,63,29,313,2,19,2026-03-28 19:18:08.505435,28,81,7.047676760455232,294,19,28
Mumbai,19.076,72.8777,36,143,15,170,26,21,2026-03-28 19:18:08.506413,37,57,6.379328587368642,78,19,28
Delhi,28.7041,77.1025,65,106,15,100,26,64,2026-03-28 19:18:08.507808,34,46,2.7944656765482625,307,19,28
Jammu and Kashmir,34.0837,74.7973,27,61,31,354,16,50,2026-03-28 19:18:08.509156,32,65,9.814276379320392,233,19,28
Hyderabad,17.385,78.4867,37,99,25,217,22,13,2026-03-28 19:18:08.511131,23,81,6.646576111905013,39,19,28
Bangalore,12.9716,77.5946,30,33,41,352,7,41,2026-03-28 19:18:08.512777,40,55,5.161343836844642,34,19,28
Visakhapatnam,17.6868,83.2185,108,43,18,180,14,70,2026-03-28 20:18:08.505430,26,90,4.3915149893338405,32,20,28
Mumbai,19.076,72.8777,64,91,15,348,16,46,2026-03-28 20:18:08.506410,31,61,1.456656281648901,86,20,28
Delhi,28.7041,77.1025,117,38,18,278,14,52,2026-03-28 20:18:08.507803,38,78,7.768545699016453,277,20,28
Jammu and Kashmir,34.0837,74.7973,90,143,34,170,30,41,2026-03-28 20:18:08.509150,20,82,8.058357408042719,229,20,28
Hyderabad,17.385,78.4867,98,145,49,138,4,12,2026-03-28 20:18:08.511124,31,58,2.822096983790863,357,20,28
Bangalore,12.9716,77.5946,68,113,31,212,7,78,2026-03-28 20:18:08.512771,32,65,4.233376882244952,40,20,28
Visakhapatnam,17.6868,83.2185,77,96,48,342,5,71,2026-03-28 21:18:08.505427,25,52,8.77310497032896,225,21,28
Mumbai,19.076,72.8777,105,71,24,149,25,12,2026-03-28 21:18:08.506406,28,64,3.961958539026072,84,21,28
Delhi,28.7041,77.1025,59,72,41,210,16,10,2026-03-28 21:18:08.507797,26,44,3.2030350324477954,3,21,28
Jammu and Kashmir,34.0837,74.7973,120,46,42,327,18,19,2026-03-28 21:18:08.509145,36,79,4.817034265483195,117,21,28
Hyderabad,17.385,78.4867,55,39,43,223,18,64,2026-03-28 21:18:08.511118,26,50,2.90591863166499,239,21,28
Bangalore,12.9716,77.5946,73,61,25,111,13,71,2026-03-28 21:18:08.512765,38,84,1.718670643815126,140,21,28
Visakhapatnam,17.6868,83.2185,81,123,46,325,23,21,2026-03-28 22:18:08.505424,31,42,7.418791017601801,164,22,28
Mumbai,19.076,72.8777,108,87,28,379,22,39,2026-03-28 22:18:08.506403,34,51,8.16978107526882,130,22,28
Delhi,28.7041,77.1025,61,68,29,365,6,29,2026-03-28 22:18:08.507792,30,74,8.698858721951062,318,22,28
Jammu and Kashmir,34.0837,74.7973,40,38,27,399,10,45,2026-03-28 22:18:08.509137,30,71,4.19308396198478,46,22,28
Hyderabad,17.385,78.4867,88,44,47,189,30,13,2026-03-28 22:18:08.511110,31,50,5.961519996165707,106,22,28
Bangalore,12.9716,77.5946,112,101,31,359,11,72,2026-03-28 22:18:08.512758,32,66,9.928429293278574,281,22,28
Visakhapatnam,17.6868,83.2185,81,93,34,381,9,49,2026-03-28 23:18:08.505420,24,40,9.798118957309349,169,23,28
Mumbai,19.076,72.8777,83,109,7,271,16,32,2026-03-28 23:18:08.506399,24,73,5.579617077701745,153,23,28
Delhi,28.7041,77.1025,108,150,5,167,24,69,2026-03-28 23:18:08.507787,30,71,1.5016877828432351,291,23,28
Jammu and Kashmir,34.0837,74.7973,108,137,14,172,27,28,2026-03-28 23:18:08.509131,23,82,7.731486650707602,55,23,28
Hyderabad,17.385,78.4867,104,83,14,349,6,59,2026-03-28 23:18:08.511104,37,47,9.541889773286542,317,23,28
Bangalore,12.9716,77.5946,81,150,17,389,18,21,2026-03-28 23:18:08.512750,39,68,7.795507335799216,198,23,28
Visakhapatnam,17.6868,83.2185,73,58,19,276,23,52,2026-03-29 00:18:08.505416,21,45,1.8741262193294663,71,0,29
Mumbai,19.076,72.8777,101,62,31,275,30,28,2026-03-29 00:18:08.506395,26,87,8.532368022455753,219,0,29
Delhi,28.7041,77.1025,78,49,34,245,25,58,2026-03-29 00:18:08.507784,36,54,9.436200826090271,47,0,29
Jammu and Kashmir,34.0837,74.7973,55,55,45,291,30,79,2026-03-29 00:18:08.509126,26,84,8.204358865126965,108,0,29
Hyderabad,17.385,78.4867,79,136,36,355,11,15,2026-03-29 00:18:08.511097,30,42,5.572402658468068,195,0,29
Bangalore,12.9716,77.5946,50,94,37,310,23,56,2026-03-29 00:18:08.512743,25,70,4.220654950042142,87,0,29
Visakhapatnam,17.6868,83.2185,91,51,45,206,2,65,2026-03-29 01:18:08.505413,27,63,2.6741613291655653,350,1,29
Mumbai,19.076,72.8777,111,82,16,335,6,50,2026-03-29 01:18:08.506392,23,73,2.64434627154442,124,1,29
Delhi,28.7041,77.1025,41,37,42,383,5,20,2026-03-29 01:18:08.507781,30,48,4.515809037063662,281,1,29
Jammu and Kashmir,34.0837,74.7973,104,97,23,392,29,45,2026-03-29 01:18:08.509121,23,63,8.774057613122148,135,1,29
Hyderabad,17.385,78.4867,22,117,23,151,8,36,2026-03-29 01:18:08.511091,24,75,4.768180987412471,216,1,29
Bangalore,12.9716,77.5946,60,96,32,380,4,68,2026-03-29 01:18:08.512737,28,64,4.855267115398162,64,1,29
Visakhapatnam,17.6868,83.2185,93,57,14,298,24,58,2026-03-29 02:18:08.505409,30,40,8.443503261935874,314,2,29
Mumbai,19.076,72.8777,25,119,43,273,20,13,2026-03-29 02:18:08.506388,37,41,9.343269799251916,165,2,29
Delhi,28.7041,77.1025,101,110,6,271,7,57,2026-03-29 02:18:08.507777,23,47,7.196131937330239,28,2,29
Jammu and Kashmir,34.0837,74.7973,34,135,50,297,27,60,2026-03-29 02:18:08.509114,35,76,6.950483365764292,171,2,29
Hyderabad,17.385,78.4867,57,43,45,160,26,50,2026-03-29 02:18:08.511082,31,74,8.039623843964439,144,2,29
Bangalore,12.9716,77.5946,116,44,24,208,8,75,2026-03-29 02:18:08.512730,31,88,7.368649885273613,246,2,29
Visakhapatnam,17.6868,83.2185,62,123,44,380,26,65,2026-03-29 03:18:08.505406,40,46,7.017413228744815,146,3,29
Mumbai,19.076,72.8777,48,123,38,107,18,74,2026-03-29 03:18:08.506385,21,73,6.445533299514953,63,3,29
Delhi,28.7041,77.1025,54,52,18,216,11,52,2026-03-29 03:18:08.507774,24,64,4.0306250781502255,294,3,29
Jammu and Kashmir,34.0837,74.7973,118,67,7,199,4,60,2026-03-29 03:18:08.509109,34,42,7.699390930323788,360,3,29
Hyderabad,17.385,78.4867,72,105,19,299,3,17,2026-03-29 03:18:08.511076,31,41,8.90306615724111,39,3,29
Bangalore,12.9716,77.5946,59,50,24,162,24,70,2026-03-29 03:18:08.512724,26,77,4.837126649650597,174,3,29
Visakhapatnam,17.6868,83.2185,55,142,35,149,15,71,2026-03-29 04:18:08.505403,27,79,3.295478177461425,2,4,29
Mumbai,19.076,72.8777,107,127,21,264,11,57,2026-03-29 04:18:08.506380,20,44,9.236377659817148,159,4,29
Delhi,28.7041,77.1025,85,102,33,183,18,49,2026-03-29 04:18:08.507770,32,55,2.345924167145706,31,4,29
Jammu and Kashmir,34.0837,74.7973,99,120,7,355,11,12,2026-03-29 04:18:08.509104,37,81,9.200810262562838,285,4,29
Hyderabad,17.385,78.4867,22,138,48,235,4,52,2026-03-29 04:18:08.511068,26,61,1.652320906561075,192,4,29
Bangalore,12.9716,77.5946,71,34,25,203,19,32,2026-03-29 04:18:08.512717,31,63,8.93210719624371,206,4,29
Visakhapatnam,17.6868,83.2185,27,32,20,380,29,20,2026-03-29 05:18:08.505399,37,51,9.466685135625786,328,5,29
Mumbai,19.076,72.8777,45,147,41,121,7,75,2026-03-29 05:18:08.506376,28,73,8.703178187012245,171,5,29
Delhi,28.7041,77.1025,20,46,43,127,24,59,2026-03-29 05:18:08.507767,30,88,6.37439778163184,46,5,29
Jammu and Kashmir,34.0837,74.7973,25,37,11,267,3,23,2026-03-29 05:18:08.509098,40,66,2.024704093180266,159,5,29
Hyderabad,17.385,78.4867,108,98,16,103,28,45,2026-03-29 05:18:08.511061,34,60,2.4345000019822485,257,5,29
Bangalore,12.9716,77.5946,69,136,6,243,12,51,2026-03-29 05:18:08.512710,28,50,1.3429424414300175,39,5,29
Visakhapatnam,17.6868,83.2185,76,48,48,217,12,44,2026-03-29 06:18:08.505396,36,56,4.943000354813624,18,6,29
Mumbai,19.076,72.8777,32,143,14,340,3,76,2026-03-29 06:18:08.506371,22,76,2.4501351107696454,278,6,29
Delhi,28.7041,77.1025,32,140,33,375,26,53,2026-03-29 06:18:08.507763,35,59,1.8605073721532288,295,6,29
Jammu and Kashmir,34.0837,74.7973,113,96,38,257,26,42,2026-03-29 06:18:08.509086,22,62,9.983512017265287,83,6,29
Hyderabad,17.385,78.4867,84,95,7,220,15,50,2026-03-29 06:18:08.511056,20,77,8.952785811257307,192,6,29
Bangalore,12.9716,77.5946,39,113,11,385,27,14,2026-03-29 06:18:08.512704,28,69,6.454799006922251,311,6,29
Visakhapatnam,17.6868,83.2185,111,80,29,291,26,12,2026-03-29 07:18:08.505392,30,51,2.25196839443532,288,7,29
Mumbai,19.076,72.8777,82,135,8,273,29,54,2026-03-29 07:18:08.506368,20,74,8.927727235688987,262,7,29
Delhi,28.7041,77.1025,26,120,23,198,30,64,2026-03-29 07:18:08.507760,26,89,9.983216618015136,40,7,29
Jammu and Kashmir,34.0837,74.7973,119,96,10,270,25,28,2026-03-29 07:18:08.508848,22,65,3.667402621954753,132,7,29
Hyderabad,17.385,78.4867,27,71,12,111,22,56,2026-03-29 07:18:08.511051,24,77,4.633046331195159,295,7,29
Bangalore,12.9716,77.5946,112,86,36,349,12,22,2026-03-29 07:18:08.512697,29,52,3.0786075355120515,281,7,29
Visakhapatnam,17.6868,83.2185,59,67,10,217,29,71,2026-03-29 08:18:08.505389,34,56,7.1274249792222655,107,8,29
Mumbai,19.076,72.8777,74,40,15,247,14,52,2026-03-29 08:18:08.506365,20,50,8.840025430766865,286,8,29
Delhi,28.7041,77.1025,113,142,5,188,14,48,2026-03-29 08:18:08.507756,40,89,5.292308057618708,204,8,29
Jammu and Kashmir,34.0837,74.7973,66,143,37,112,24,27,2026-03-29 08:18:08.508843,21,76,9.487870823938458,15,8,29
Hyderabad,17.385,78.4867,114,83,23,128,28,22,2026-03-29 08:18:08.511047,31,54,1.4075774707539097,92,8,29
Bangalore,12.9716,77.5946,38,128,15,380,19,58,2026-03-29 08:18:08.512690,40,73,7.485184862129241,113,8,29
Visakhapatnam,17.6868,83.2185,41,120,36,325,19,68,2026-03-29 09:18:08.505385,25,81,7.900641168801346,71,9,29
Mumbai,19.076,72.8777,25,141,17,362,4,76,2026-03-29 09:18:08.506361,26,70,3.9008101732981686,287,9,29
Delhi,28.7041,77.1025,85,54,48,250,3,14,2026-03-29 09:18:08.507753,35,50,4.360881477642227,179,9,29
Jammu and Kashmir,34.0837,74.7973,54,119,15,156,6,67,2026-03-29 09:18:08.508837,21,71,5.062571361606982,167,9,29
Hyderabad,17.385,78.4867,37,125,13,202,15,71,2026-03-29 09:18:08.511041,34,50,3.17276843435486,356,9,29
Bangalore,12.9716,77.5946,38,62,29,262,9,19,2026-03-29 09:18:08.512683,33,76,2.6866435462595373,259,9,29
Visakhapatnam,17.6868,83.2185,28,47,8,347,11,71,2026-03-29 10:18:08.505382,38,50,5.965371994599257,109,10,29
Mumbai,19.076,72.8777,103,134,21,364,27,70,2026-03-29 10:18:08.506356,35,52,6.792885114055653,84,10,29
Delhi,28.7041,77.1025,51,148,8,173,21,79,2026-03-29 10:18:08.507749,27,41,9.072786253947188,122,10,29
Jammu and Kashmir,34.0837,74.7973,120,110,50,371,16,53,2026-03-29 10:18:08.508830,27,81,8.528706276852144,270,10,29
Hyderabad,17.385,78.4867,114,55,39,277,22,42,2026-03-29 10:18:08.511035,27,62,5.174958935348778,142,10,29
Bangalore,12.9716,77.5946,74,116,17,201,22,50,2026-03-29 10:18:08.512666,23,69,9.769986126219658,65,10,29
Visakhapatnam,17.6868,83.2185,80,71,35,264,10,62,2026-03-29 11:18:08.505379,27,88,7.443958786800888,234,11,29
Mumbai,19.076,72.8777,53,145,39,374,13,16,2026-03-29 11:18:08.506350,32,56,5.87840090516033,212,11,29
Delhi,28.7041,77.1025,106,127,36,373,21,34,2026-03-29 11:18:08.507746,31,57,5.073061857786978,204,11,29
Jammu and Kashmir,34.0837,74.7973,105,69,33,317,21,14,2026-03-29 11:18:08.508824,37,76,8.149228656075032,294,11,29
Hyderabad,17.385,78.4867,49,61,37,309,3,41,2026-03-29 11:18:08.511028,36,74,8.823446749785358,97,11,29
Bangalore,12.9716,77.5946,66,54,26,367,14,18,2026-03-29 11:18:08.512656,27,68,9.054343536671158,97,11,29
Visakhapatnam,17.6868,83.2185,96,118,38,369,21,31,2026-03-29 12:18:08.505375,40,86,8.200934733198867,110,12,29
Mumbai,19.076,72.8777,61,107,21,255,23,77,2026-03-29 12:18:08.506344,38,46,1.9742104136364225,211,12,29
Delhi,28.7041,77.1025,53,130,46,333,29,62,2026-03-29 12:18:08.507741,27,64,8.0631034559988,300,12,29
