location,latitude,longitude,pm2_5,pm10,no2,co,so2,o3,timestamp,temperature,humidity,wind_speed,wind_direction,hour,day,pollution_source
Jammu and Kashmir,34.0837,74.7973,72,126,35,149,30,29,2026-03-27 03:33:27.717933,23,84,6.99960481815233,171,3,27,Vehicular
Hyderabad,17.385,78.4867,41,105,29,180,14,77,2026-03-27 03:33:27.718329,23,84,6.99960481815233,171,3,27,Natural
Bangalore,12.9716,77.5946,110,81,42,219,18,78,2026-03-27 03:33:27.718713,23,84,6.99960481815233,171,3,27,Vehicular
Visakhapatnam,17.6868,83.2185,37,104,41,144,5,52,2026-03-27 04:33:27.716756,23,84,6.99960481815233,171,4,27,Vehicular
Mumbai,19.076,72.8777,120,110,50,265,11,32,2026-03-27 04:33:27.717146,23,84,6.99960481815233,171,4,27,Vehicular
Delhi,28.7041,77.1025,42,123,22,324,24,35,2026-03-27 04:33:27.717528,23,84,6.99960481815233,171,4,27,Industrial
Jammu and Kashmir,34.0837,74.7973,88,43,10,344,23,35,2026-03-27 04:33:27.717927,23,84,6.99960481815233,171,4,27,Industrial
Hyderabad,17.385,78.4867,42,32,36,184,9,37,2026-03-27 04:33:27.718323,23,84,6.99960481815233,171,4,27,Vehicular
Bangalore,12.9716,77.5946,43,124,17,256,4,56,2026-03-27 04:33:27.718708,23,84,6.99960481815233,171,4,27,Natural
Visakhapatnam,17.6868,83.2185,22,146,10,273,28,32,2026-03-27 05:33:27.716751,23,84,6.99960481815233,171,5,27,Industrial
Mumbai,19.076,72.8777,42,120,50,227,17,80,2026-03-27 05:33:27.717141,23,84,6.99960481815233,171,5,27,Vehicular
Delhi,28.7041,77.1025,62,99,5,350,9,78,2026-03-27 05:33:27.717523,23,84,6.99960481815233,171,5,27,Natural
Jammu and Kashmir,34.0837,74.7973,67,62,31,186,6,47,2026-03-27 05:33:27.717919,23,84,6.99960481815233,171,5,27,Vehicular
Hyderabad,17.385,78.4867,55,33,48,398,28,37,2026-03-27 05:33:27.718318,23,84,6.99960481815233,171,5,27,Vehicular
Bangalore,12.9716,77.5946,79,128,48,159,25,50,2026-03-27 05:33:27.718702,23,84,6.99960481815233,171,5,27,Vehicular
Visakhapatnam,17.6868,83.2185,25,31,12,209,30,22,2026-03-27 06:33:27.716745,23,84,6.99960481815233,171,6,27,Industrial
Mumbai,19.076,72.8777,44,135,50,364,19,27,2026-03-27 06:33:27.717135,23,84,6.99960481815233,171,6,27,Vehicular
Delhi,28.7041,77.1025,102,92,35,315,26,24,2026-03-27 06:33:27.717518,23,84,6.99960481815233,171,6,27,Vehicular
Jammu and Kashmir,34.0837,74.7973,95,98,24,238,3,68,2026-03-27 06:33:27.717914,23,84,6.99960481815233,171,6,27,Agricultural
Hyderabad,17.385,78.4867,75,99,16,162,9,40,2026-03-27 06:33:27.718313,23,84,6.99960481815233,171,6,27,Mixed
Bangalore,12.9716,77.5946,43,119,17,101,10,78,2026-03-27 06:33:27.718697,23,84,6.99960481815233,171,6,27,Natural
Visakhapatnam,17.6868,83.2185,48,58,5,298,9,80,2026-03-27 07:33:27.716740,23,84,6.99960481815233,171,7,27,Natural
Mumbai,19.076,72.8777,93,80,10,360,6,64,2026-03-27 07:33:27.717130,23,84,6.99960481815233,171,7,27,Agricultural
Delhi,28.7041,77.1025,86,41,38,302,27,77,2026-03-27 07:33:27.717512,23,84,6.99960481815233,171,7,27,Vehicular
Jammu and Kashmir,34.0837,74.7973,41,55,8,267,29,29,2026-03-27 07:33:27.717908,23,84,6.99960481815233,171,7,27,Industrial
Hyderabad,17.385,78.4867,116,127,12,169,6,10,2026-03-27 07:33:27.718308,23,84,6.99960481815233,171,7,27,Agricultural
Bangalore,12.9716,77.5946,34,40,10,109,6,74,2026-03-27 07:33:27.718692,23,84,6.99960481815233,171,7,27,Natural
Visakhapatnam,17.6868,83.2185,99,59,29,200,18,46,2026-03-27 08:33:27.716735,23,84,6.99960481815233,171,8,27,Agricultural
Mumbai,19.076,72.8777,113,35,22,103,29,43,2026-03-27 08:33:27.717125,23,84,6.99960481815233,171,8,27,Industrial
Delhi,28.7041,77.1025,70,81,19,396,14,54,2026-03-27 08:33:27.717505,23,84,6.99960481815233,171,8,27,Natural
Jammu and Kashmir,34.0837,74.7973,66,96,16,314,30,24,2026-03-27 08:33:27.717903,23,84,6.99960481815233,171,8,27,Industrial
Hyderabad,17.385,78.4867,92,33,18,208,24,42,2026-03-27 08:33:27.718302,23,84,6.99960481815233,171,8,27,Industrial
Bangalore,12.9716,77.5946,82,137,16,119,6,52,2026-03-27 08:33:27.718687,23,84,6.99960481815233,171,8,27,Agricultural
Visakhapatnam,17.6868,83.2185,77,137,43,325,8,27,2026-03-27 09:33:27.716730,23,84,6.99960481815233,171,9,27,Vehicular
Mumbai,19.076,72.8777,81,148,15,284,25,68,2026-03-27 09:33:27.717120,23,84,6.99960481815233,171,9,27,Industrial
Delhi,28.7041,77.1025,37,34,8,385,23,48,2026-03-27 09:33:27.717500,23,84,6.99960481815233,171,9,27,Industrial
Jammu and Kashmir,34.0837,74.7973,87,116,5,190,11,12,2026-03-27 09:33:27.717897,23,84,6.99960481815233,171,9,27,Agricultural
Hyderabad,17.385,78.4867,111,137,13,196,4,36,2026-03-27 09:33:27.718297,23,84,6.99960481815233,171,9,27,Agricultural
Bangalore,12.9716,77.5946,88,105,25,283,21,31,2026-03-27 09:33:27.718679,23,84,6.99960481815233,171,9,27,Industrial
Visakhapatnam,17.6868,83.2185,39,71,15,165,19,56,2026-03-27 10:33:27.716725,23,84,6.99960481815233,171,10,27,Natural
Mumbai,19.076,72.8777,69,35,23,127,20,32,2026-03-27 10:33:27.717113,23,84,6.99960481815233,171,10,27,Mixed
Delhi,28.7041,77.1025,57,131,15,204,23,29,2026-03-27 10:33:27.717495,23,84,6.99960481815233,171,10,27,Industrial
Jammu and Kashmir,34.0837,74.7973,57,136,45,182,25,53,2026-03-27 10:33:27.717891,23,84,6.99960481815233,171,10,27,Vehicular
Hyderabad,17.385,78.4867,91,141,9,292,18,15,2026-03-27 10:33:27.718292,23,84,6.99960481815233,171,10,27,Agricultural
Bangalore,12.9716,77.5946,51,62,38,179,30,51,2026-03-27 10:33:27.718671,23,84,6.99960481815233,171,10,27,Vehicular
Visakhapatnam,17.6868,83.2185,69,77,44,160,24,23,2026-03-27 11:33:27.716719,23,84,6.99960481815233,171,11,27,Vehicular
Mumbai,19.076,72.8777,92,72,35,253,14,43,2026-03-27 11:33:27.717108,23,84,6.99960481815233,171,11,27,Vehicular
Delhi,28.7041,77.1025,26,61,5,169,30,61,2026-03-27 11:33:27.717490,23,84,6.99960481815233,171,11,27,Industrial
Jammu and Kashmir,34.0837,74.7973,113,46,10,238,21,48,2026-03-27 11:33:27.717885,23,84,6.99960481815233,171,11,27,Industrial
Hyderabad,17.385,78.4867,120,32,17,373,16,62,2026-03-27 11:33:27.718287,23,84,6.99960481815233,171,11,27,Agricultural
Bangalore,12.9716,77.5946,95,37,20,107,26,25,2026-03-27 11:33:27.718666,23,84,6.99960481815233,171,11,27,Industrial
Visakhapatnam,17.6868,83.2185,100,130,19,103,23,63,2026-03-27 12:33:27.716714,23,84,6.99960481815233,171,12,27,Industrial
Mumbai,19.076,72.8777,96,78,6,216,3,75,2026-03-27 12:33:27.717103,23,84,6.99960481815233,171,12,27,Agricultural
Delhi,28.7041,77.1025,109,103,32,314,17,13,2026-03-27 12:33:27.717484,23,84,6.99960481815233,171,12,27,Vehicular
Jammu and Kashmir,34.0837,74.7973,36,81,25,264,19,12,2026-03-27 12:33:27.717880,23,84,6.99960481815233,171,12,27,Mixed
Hyderabad,17.385,78.4867,68,64,8,162,7,23,2026-03-27 12:33:27.718281,23,84,6.99960481815233,171,12,27,Mixed
Bangalore,12.9716,77.5946,55,52,8,390,7,32,2026-03-27 12:33:27.718661,23,84,6.99960481815233,171,12,27,Mixed
Visakhapatnam,17.6868,83.2185,94,35,43,125,22,45,2026-03-27 13:33:27.716709,23,84,6.99960481815233,171,13,27,Vehicular
Mumbai,19.076,72.8777,81,68,40,363,3,50,2026-03-27 13:33:27.717098,23,84,6.99960481815233,171,13,27,Vehicular
Delhi,28.7041,77.1025,116,42,37,271,9,47,2026-03-27 13:33:27.717476,23,84,6.99960481815233,171,13,27,Vehicular
Jammu and Kashmir,34.0837,74.7973,42,49,5,331,21,78,2026-03-27 13:33:27.717875,23,84,6.99960481815233,171,13,27,Industrial
Hyderabad,17.385,78.4867,45,78,28,253,26,27,2026-03-27 13:33:27.718276,23,84,6.99960481815233,171,13,27,Industrial
Bangalore,12.9716,77.5946,118,120,49,361,4,16,2026-03-27 13:33:27.718656,23,84,6.99960481815233,171,13,27,Vehicular
Visakhapatnam,17.6868,83.2185,108,112,28,385,8,55,2026-03-27 14:33:27.716704,23,84,6.99960481815233,171,14,27,Agricultural
Mumbai,19.076,72.8777,93,83,18,250,30,46,2026-03-27 14:33:27.717093,23,84,6.99960481815233,171,14,27,Industrial
Delhi,28.7041,77.1025,34,75,46,247,15,78,2026-03-27 14:33:27.717471,23,84,6.99960481815233,171,14,27,Vehicular
Jammu and Kashmir,34.0837,74.7973,83,30,35,154,15,17,2026-03-27 14:33:27.717869,23,84,6.99960481815233,171,14,27,Vehicular
Hyderabad,17.385,78.4867,49,30,50,133,16,33,2026-03-27 14:33:27.718271,23,84,6.99960481815233,171,14,27,Vehicular
Bangalore,12.9716,77.5946,118,130,19,125,12,23,2026-03-27 14:33:27.718651,23,84,6.99960481815233,171,14,27,Agricultural
Visakhapatnam,17.6868,83.2185,78,82,42,319,22,15,2026-03-27 15:33:27.716699,23,84,6.99960481815233,171,15,27,Vehicular
Mumbai,19.076,72.8777,50,141,20,349,28,72,2026-03-27 15:33:27.717088,23,84,6.99960481815233,171,15,27,Industrial
Delhi,28.7041,77.1025,93,73,25,102,8,27,2026-03-27 15:33:27.717466,23,84,6.99960481815233,171,15,27,Agricultural
Jammu and Kashmir,34.0837,74.7973,26,95,49,248,5,72,2026-03-27 15:33:27.717864,23,84,6.99960481815233,171,15,27,Vehicular
Hyderabad,17.385,78.4867,37,48,34,233,21,80,2026-03-27 15:33:27.718266,23,84,6.99960481815233,171,15,27,Vehicular
Bangalore,12.9716,77.5946,58,39,12,260,28,14,2026-03-27 15:33:27.718646,23,84,6.99960481815233,171,15,27,Industrial
Visakhapatnam,17.6868,83.2185,120,109,28,148,26,53,2026-03-27 16:33:27.716693,23,84,6.99960481815233,171,16,27,Industrial
Mumbai,19.076,72.8777,76,38,22,148,9,59,2026-03-27 16:33:27.717082,23,84,6.99960481815233,171,16,27,Natural
Delhi,28.7041,77.1025,109,106,49,286,22,69,2026-03-27 16:33:27.717461,23,84,6.99960481815233,171,16,27,Vehicular
Jammu and Kashmir,34.0837,74.7973,74,35,43,331,29,13,2026-03-27 16:33:27.717859,23,84,6.99960481815233,171,16,27,Vehicular
Hyderabad,17.385,78.4867,55,85,17,137,6,21,2026-03-27 16:33:27.718261,23,84,6.99960481815233,171,16,27,Mixed
Bangalore,12.9716,77.5946,81,147,41,290,29,27,2026-03-27 16:33:27.718641,23,84,6.99960481815233,171,16,27,Vehicular
Visakhapatnam,17.6868,83.2185,100,95,32,138,3,28,2026-03-27 17:33:27.716688,23,84,6.99960481815233,171,17,27,Vehicular
Mumbai,19.076,72.8777,106,46,45,255,28,58,2026-03-27 17:33:27.717077,23,84,6.99960481815233,171,17,27,Vehicular
Delhi,28.7041,77.1025,89,107,11,305,26,48,2026-03-27 17:33:27.717456,23,84,6.99960481815233,171,17,27,Industrial
Jammu and Kashmir,34.0837,74.7973,104,45,38,262,23,55,2026-03-27 17:33:27.717854,23,84,6.99960481815233,171,17,27,Vehicular
Hyderabad,17.385,78.4867,108,119,16,152,12,37,2026-03-27 17:33:27.718253,23,84,6.99960481815233,171,17,27,Agricultural
Bangalore,12.9716,77.5946,120,147,43,160,15,13,2026-03-27 17:33:27.718635,23,84,6.99960481815233,171,17,27,Vehicular
Visakhapatnam,17.6868,83.2185,111,40,43,163,13,45,2026-03-27 18:33:27.716683,23,84,6.99960481815233,171,18,27,Vehicular
Mumbai,19.076,72.8777,73,132,43,305,7,39,2026-03-27 18:33:27.717072,23,84,6.99960481815233,171,18,27,Vehicular
Delhi,28.7041,77.1025,88,125,49,207,13,17,2026-03-27 18:33:27.717451,23,84,6.99960481815233,171,18,27,Vehicular
Jammu and Kashmir,34.0837,74.7973,118,67,43,357,21,11,2026-03-27 18:33:27.717847,23,84,6.99960481815233,171,18,27,Vehicular
Hyderabad,17.385,78.4867,83,85,21,375,7,78,2026-03-27 18:33:27.718248,23,84,6.99960481815233,171,18,27,Agricultural
Bangalore,12.9716,77.5946,81,90,34,341,27,32,2026-03-27 18:33:27.718629,23,84,6.99960481815233,171,18,27,Vehicular
Visakhapatnam,17.6868,83.2185,101,38,34,161,6,35,2026-03-27 19:33:27.716678,23,84,6.99960481815233,171,19,27,Vehicular
Mumbai,19.076,72.8777,94,115,48,293,10,16,2026-03-27 19:33:27.717067,23,84,6.99960481815233,171,19,27,Vehicular
Delhi,28.7041,77.1025,72,41,48,220,28,55,2026-03-27 19:33:27.717445,23,84,6.99960481815233,171,19,27,Vehicular
Jammu and Kashmir,34.0837,74.7973,90,147,5,241,8,20,2026-03-27 19:33:27.717839,23,84,6.99960481815233,171,19,27,Agricultural
Hyderabad,17.385,78.4867,72,47,5,179,7,80,2026-03-27 19:33:27.718242,23,84,6.99960481815233,171,19,27,Natural
Bangalore,12.9716,77.5946,104,63,44,231,23,13,2026-03-27 19:33:27.718624,23,84,6.99960481815233,171,19,27,Vehicular
Visakhapatnam,17.6868,83.2185,76,68,38,107,17,76,2026-03-27 20:33:27.716673,23,84,6.99960481815233,171,20,27,Vehicular
Mumbai,19.076,72.8777,99,50,11,249,30,34,2026-03-27 20:33:27.717061,23,84,6.99960481815233,171,20,27,Industrial
Delhi,28.7041,77.1025,50,38,41,176,11,14,2026-03-27 20:33:27.717440,23,84,6.99960481815233,171,20,27,Vehicular
Jammu and Kashmir,34.0837,74.7973,117,73,16,220,17,31,2026-03-27 20:33:27.717834,23,84,6.99960481815233,171,20,27,Agricultural
Hyderabad,17.385,78.4867,116,117,32,299,20,39,2026-03-27 20:33:27.718237,23,84,6.99960481815233,171,20,27,Vehicular
Bangalore,12.9716,77.5946,21,30,36,290,17,64,2026-03-27 20:33:27.718619,23,84,6.99960481815233,171,20,27,Vehicular
Visakhapatnam,17.6868,83.2185,47,55,13,138,17,60,2026-03-27 21:33:27.716668,23,84,6.99960481815233,171,21,27,Natural
Mumbai,19.076,72.8777,83,85,32,127,28,66,2026-03-27 21:33:27.717053,23,84,6.99960481815233,171,21,27,Vehicular
Delhi,28.7041,77.1025,58,78,28,336,15,62,2026-03-27 21:33:27.717435,23,84,6.99960481815233,171,21,27,Natural
Jammu and Kashmir,34.0837,74.7973,89,111,42,103,13,21,2026-03-27 21:33:27.717829,23,84,6.99960481815233,171,21,27,Vehicular
Hyderabad,17.385,78.4867,54,93,13,309,4,76,2026-03-27 21:33:27.718232,23,84,6.99960481815233,171,21,27,Natural
Bangalore,12.9716,77.5946,30,80,14,340,18,40,2026-03-27 21:33:27.718614,23,84,6.99960481815233,171,21,27,Mixed
Visakhapatnam,17.6868,83.2185,29,72,18,266,15,25,2026-03-27 22:33:27.716662,23,84,6.99960481815233,171,22,27,Mixed
Mumbai,19.076,72.8777,38,35,19,102,19,73,2026-03-27 22:33:27.717048,23,84,6.99960481815233,171,22,27,Natural
Delhi,28.7041,77.1025,26,56,44,389,22,80,2026-03-27 22:33:27.717430,23,84,6.99960481815233,171,22,27,Vehicular
Jammu and Kashmir,34.0837,74.7973,116,81,33,369,4,22,2026-03-27 22:33:27.717823,23,84,6.99960481815233,171,22,27,Vehicular
Hyderabad,17.385,78.4867,103,54,32,189,26,43,2026-03-27 22:33:27.718227,23,84,6.99960481815233,171,22,27,Vehicular
Bangalore,12.9716,77.5946,97,39,6,260,5,27,2026-03-27 22:33:27.718609,23,84,6.99960481815233,171,22,27,Agricultural
Visakhapatnam,17.6868,83.2185,103,47,19,338,10,37,2026-03-27 23:33:27.716657,23,84,6.99960481815233,171,23,27,Agricultural
Mumbai,19.076,72.8777,115,48,45,344,11,68,2026-03-27 23:33:27.717042,23,84,6.99960481815233,171,23,27,Vehicular
Delhi,28.7041,77.1025,86,110,46,235,7,20,2026-03-27 23:33:27.717424,23,84,6.99960481815233,171,23,27,Vehicular
Jammu and Kashmir,34.0837,74.7973,103,51,40,316,22,55,2026-03-27 23:33:27.717817,23,84,6.99960481815233,171,23,27,Vehicular
Hyderabad,17.385,78.4867,45,138,10,350,18,76,2026-03-27 23:33:27.718222,23,84,6.99960481815233,171,23,27,Natural
Bangalore,12.9716,77.5946,117,125,30,154,22,67,2026-03-27 23:33:27.718604,23,84,6.99960481815233,171,23,27,Industrial
Visakhapatnam,17.6868,83.2185,107,76,31,397,22,61,2026-03-28 00:33:27.716652,23,84,6.99960481815233,171,0,28,Vehicular
Mumbai,19.076,72.8777,37,120,14,217,11,10,2026-03-28 00:33:27.717038,23,84,6.99960481815233,171,0,28,Mixed
Delhi,28.7041,77.1025,62,43,22,310,24,21,2026-03-28 00:33:27.717419,23,84,6.99960481815233,171,0,28,Industrial
Jammu and Kashmir,34.0837,74.7973,62,56,33,140,14,61,2026-03-28 00:33:27.717812,23,84,6.99960481815233,171,0,28,Vehicular
Hyderabad,17.385,78.4867,49,109,31,304,27,67,2026-03-28 00:33:27.718216,23,84,6.99960481815233,171,0,28,Vehicular
Bangalore,12.9716,77.5946,22,82,16,263,6,12,2026-03-28 00:33:27.718599,23,84,6.99960481815233,171,0,28,Mixed
Visakhapatnam,17.6868,83.2185,67,98,43,242,13,10,2026-03-28 01:33:27.716647,23,84,6.99960481815233,171,1,28,Vehicular
Mumbai,19.076,72.8777,116,50,13,260,30,71,2026-03-28 01:33:27.717032,23,84,6.99960481815233,171,1,28,Industrial
Delhi,28.7041,77.1025,52,134,23,153,11,16,2026-03-28 01:33:27.717413,23,84,6.99960481815233,171,1,28,Mixed
Jammu and Kashmir,34.0837,74.7973,31,142,31,251,29,52,2026-03-28 01:33:27.717804,23,84,6.99960481815233,171,1,28,Vehicular
Hyderabad,17.385,78.4867,58,133,7,160,6,30,2026-03-28 01:33:27.718208,23,84,6.99960481815233,171,1,28,Mixed
Bangalore,12.9716,77.5946,119,143,20,174,19,54,2026-03-28 01:33:27.718593,23,84,6.99960481815233,171,1,28,Agricultural
Visakhapatnam,17.6868,83.2185,61,79,44,100,13,75,2026-03-28 02:33:27.716641,23,84,6.99960481815233,171,2,28,Vehicular
Mumbai,19.076,72.8777,85,61,9,387,10,20,2026-03-28 02:33:27.717028,23,84,6.99960481815233,171,2,28,Agricultural
Delhi,28.7041,77.1025,100,104,41,267,3,63,2026-03-28 02:33:27.717408,23,84,6.99960481815233,171,2,28,Vehicular
Jammu and Kashmir,34.0837,74.7973,29,123,31,207,27,34,2026-03-28 02:33:27.717799,23,84,6.99960481815233,171,2,28,Vehicular
Hyderabad,17.385,78.4867,120,80,42,333,6,72,2026-03-28 02:33:27.718203,23,84,6.99960481815233,171,2,28,Vehicular
Bangalore,12.9716,77.5946,120,48,9,224,14,37,2026-03-28 02:33:27.718588,23,84,6.99960481815233,171,2,28,Agricultural
Visakhapatnam,17.6868,83.2185,46,60,8,251,6,44,2026-03-28 03:33:27.716636,23,84,6.99960481815233,171,3,28,Mixed
Mumbai,19.076,72.8777,102,31,25,324,28,26,2026-03-28 03:33:27.717022,23,84,6.99960481815233,171,3,28,Industrial
Delhi,28.7041,77.1025,87,144,26,338,26,15,2026-03-28 03:33:27.717403,23,84,6.99960481815233,171,3,28,Industrial
Jammu and Kashmir,34.0837,74.7973,46,37,46,140,5,79,2026-03-28 03:33:27.717794,23,84,6.99960481815233,171,3,28,Vehicular
Hyderabad,17.385,78.4867,71,75,14,127,18,48,2026-03-28 03:33:27.718198,23,84,6.99960481815233,171,3,28,Mixed
Bangalore,12.9716,77.5946,77,56,33,317,6,14,2026-03-28 03:33:27.718583,23,84,6.99960481815233,171,3,28,Vehicular
Visakhapatnam,17.6868,83.2185,90,141,48,285,30,22,2026-03-28 04:33:27.716630,23,84,6.99960481815233,171,4,28,Vehicular
Mumbai,19.076,72.8777,91,131,29,224,19,31,2026-03-28 04:33:27.717017,23,84,6.99960481815233,171,4,28,Agricultural
Delhi,28.7041,77.1025,28,76,11,171,14,48,2026-03-28 04:33:27.717398,23,84,6.99960481815233,171,4,28,Mixed
Jammu and Kashmir,34.0837,74.7973,57,105,18,155,20,54,2026-03-28 04:33:27.717789,23,84,6.99960481815233,171,4,28,Natural
Hyderabad,17.385,78.4867,119,121,22,314,22,11,2026-03-28 04:33:27.718193,23,84,6.99960481815233,171,4,28,Industrial
Bangalore,12.9716,77.5946,28,101,42,165,11,23,2026-03-28 04:33:27.718571,23,84,6.99960481815233,171,4,28,Vehicular
Visakhapatnam,17.6868,83.2185,47,134,35,332,23,71,2026-03-28 05:33:27.716624,23,84,6.99960481815233,171,5,28,Vehicular
Mumbai,19.076,72.8777,43,92,11,101,14,10,2026-03-28 05:33:27.717012,23,84,6.99960481815233,171,5,28,Mixed
Delhi,28.7041,77.1025,75,113,30,182,17,45,2026-03-28 05:33:27.717393,23,84,6.99960481815233,171,5,28,Mixed
Jammu and Kashmir,34.0837,74.7973,119,100,16,132,15,29,2026-03-28 05:33:27.717784,23,84,6.99960481815233,171,5,28,Agricultural
Hyderabad,17.385,78.4867,70,118,25,283,14,36,2026-03-28 05:33:27.718188,23,84,6.99960481815233,171,5,28,Mixed
Bangalore,12.9716,77.5946,76,149,26,300,18,72,2026-03-28 05:33:27.718566,23,84,6.99960481815233,171,5,28,Natural
Visakhapatnam,17.6868,83.2185,64,140,6,179,16,48,2026-03-28 06:33:27.716619,34,73,8.975280985288919,347,6,28,Mixed
Mumbai,19.076,72.8777,77,131,5,327,11,54,2026-03-28 06:33:27.717005,34,73,8.975280985288919,347,6,28,Natural
Delhi,28.7041,77.1025,65,142,50,182,30,26,2026-03-28 06:33:27.717388,34,73,8.975280985288919,347,6,28,Vehicular
Jammu and Kashmir,34.0837,74.7973,102,114,17,288,16,71,2026-03-28 06:33:27.717778,34,73,8.975280985288919,347,6,28,Agricultural
Hyderabad,17.385,78.4867,32,124,31,324,12,14,2026-03-28 06:33:27.718183,34,73,8.975280985288919,347,6,28,Vehicular
Bangalore,12.9716,77.5946,47,131,10,371,16,29,2026-03-28 06:33:27.718561,34,73,8.975280985288919,347,6,28,Mixed
Visakhapatnam,17.6868,83.2185,58,78,20,150,18,27,2026-03-28 07:33:27.716614,20,48,1.446701313937051,4,7,28,Mixed
Mumbai,19.076,72.8777,53,133,15,195,13,10,2026-03-28 07:33:27.717000,20,48,1.446701313937051,4,7,28,Mixed
Delhi,28.7041,77.1025,79,136,13,289,26,47,2026-03-28 07:33:27.717383,20,48,1.446701313937051,4,7,28,Industrial
Jammu and Kashmir,34.0837,74.7973,40,99,17,318,19,32,2026-03-28 07:33:27.717773,20,48,1.446701313937051,4,7,28,Mixed
Hyderabad,17.385,78.4867,29,39,40,233,7,10,2026-03-28 07:33:27.718178,20,48,1.446701313937051,4,7,28,Vehicular
Bangalore,12.9716,77.5946,28,139,27,334,5,37,2026-03-28 07:33:27.718556,20,48,1.446701313937051,4,7,28,Mixed
Visakhapatnam,17.6868,83.2185,100,120,28,105,23,68,2026-03-28 08:33:27.716608,33,74,3.1056198778282007,64,8,28,Industrial
Mumbai,19.076,72.8777,42,92,13,347,23,42,2026-03-28 08:33:27.716995,33,74,3.1056198778282007,64,8,28,Industrial
Delhi,28.7041,77.1025,76,55,47,198,14,28,2026-03-28 08:33:27.717377,33,74,3.1056198778282007,64,8,28,Vehicular
Jammu and Kashmir,34.0837,74.7973,119,133,34,270,25,39,2026-03-28 08:33:27.717768,33,74,3.1056198778282007,64,8,28,Vehicular
