Timestamp,City,Latitude,Longitude,PM2.5,PM10,NO2,CO,SO2,O3,Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°)
2026-03-25 22:48:32,Kolkata,22.5726,88.3639,20.06,33.82,1.45,264.79,1.12,57.27,26.96,83,4.63,160
2026-03-25 22:48:36,Bangalore,12.9716,77.5946,32.65,41.28,7.04,264.74,7.27,94.48,25.75,53,10.73,112
2026-03-25 22:48:39,Hyderabad,17.385,78.4867,27.88,36.22,9.43,328.43,4.66,70.09,25.73,69,2.57,130
2026-03-25 22:48:48,Delhi,28.6139,77.209,39.66,73.66,29.64,611.62,4.21,27.72,28.07,39,1.03,0
2026-03-25 22:48:52,Mumbai,19.076,72.8777,31.64,50.99,1.13,172.65,4.65,106.31,30.03,62,3.09,350
2026-03-25 22:48:56,Chennai,13.0827,80.2707,14.24,23.62,6.96,283.83,2.03,40.97,28.11,78,3.09,120
2026-03-25 22:48:58,Kolkata,22.5726,88.3639,20.06,33.82,1.45,264.79,1.12,57.27,26.96,83,4.63,160
2026-03-25 22:49:01,Bangalore,12.9716,77.5946,32.65,41.28,7.04,264.74,7.27,94.48,25.75,53,10.73,112
2026-03-25 22:49:04,Hyderabad,17.385,78.4867,27.88,36.22,9.43,328.43,4.66,70.09,25.73,69,2.57,130
2026-03-25 22:49:12,Delhi,28.6139,77.209,39.66,73.66,29.64,611.62,4.21,27.72,28.07,39,1.03,0
2026-03-25 22:49:16,Mumbai,19.076,72.8777,31.64,50.99,1.13,172.65,4.65,106.31,30.03,62,3.09,350
2026-03-25 22:49:20,Chennai,13.0827,80.2707,14.24,23.62,6.96,283.83,2.03,40.97,28.11,78,3.09,120
2026-03-25 22:49:23,Kolkata,22.5726,88.3639,20.06,33.82,1.45,264.79,1.12,57.27,26.96,83,4.63,160
2026-03-25 22:49:29,Bangalore,12.9716,77.5946,32.65,41.28,7.04,264.74,7.27,94.48,25.75,53,10.73,112
2026-03-25 22:49:31,Hyderabad,17.385,78.4867,27.88,36.22,9.43,328.43,4.66,70.09,25.73,69,2.57,130
2026-03-25 22:49:39,Delhi,28.6139,77.209,39.66,73.66,29.64,611.62,4.21,27.72,28.07,39,1.03,0
2026-03-25 22:49:42,Mumbai,19.076,72.8777,31.64,50.99,1.13,172.65,4.65,106.31,30.03,62,3.09,350
2026-03-25 22:49:44,Chennai,13.0827,80.2707,14.24,23.62,6.96,283.83,2.03,40.97,28.11,78,3.09,120
2026-03-25 22:49:47,Kolkata,22.5726,88.3639,20.06,33.82,1.45,264.79,1.12,57.27,26.96,83,4.63,160
2026-03-25 22:49:51,Bangalore,12.9716,77.5946,32.65,41.28,7.04,264.74,7.27,94.48,25.75,53,10.73,112
2026-03-25 22:49:54,Hyderabad,17.385,78.4867,27.88,36.22,9.43,328.43,4.66,70.09,25.73,69,2.57,130
