state,city,latitude,longitude,timestamp,pm25,pm10,no2,co,so2,o3,temperature,humidity,pressure,wind_speed,dist_to_road,dist_to_industry,dist_to_dump
Bihar,Patna,25.590347,85.139291,2024-01-01 17:00:00,40.98,51.91,2.91,3.49,7.01,119.38,27.98,47,1011,3.6,0.0145,0.0183,0.0109
Delhi,Delhi,28.60866,77.202643,2024-01-01 18:00:00,41.35,58.5,10.65,5.09,2.9,85.86,25.06,53,1012,1.54,0.0185,0.0375,0.0105
Rajasthan,Jaipur,26.922147,75.780921,2024-01-01 19:00:00,39.57,71.07,8.38,4.1,1.62,57.7,26.69,34,1012,3.09,0.0259,0.0399,0.0357
Telangana,Hyderabad,17.3847,78.477882,2024-01-01 20:00:00,35.1,43.33,5.72,3.23,9.48,85.1,28.24,57,1012,3.09,0.0026,0.0486,0.0219
Bihar,Patna,25.592929,85.133508,2024-01-01 21:00:00,40.98,51.91,2.91,3.49,7.01,119.38,27.98,47,1011,3.6,0.0268,0.0278,0.021
Odisha,Bhubaneswar,20.305362,85.82367,2024-01-01 22:00:00,25.33,33.46,2.04,2.91,6.01,76.86,29.91,66,1011,4.63,0.0432,0.0457,0.0219
Madhya Pradesh,Bhopal,23.264726,77.413084,2024-01-01 23:00:00,36.96,48.2,3.06,3.63,1.93,80.66,31.57,21,1012,2.04,0.0314,0.0189,0.0165
Assam,Guwahati,26.142338,91.742826,2024-01-02 00:00:00,56.36,61.68,2.55,4.03,6.76,116.97,22.98,83,1013,3.09,0.0269,0.0316,0.0331
Punjab,Amritsar,31.6334,74.864757,2024-01-02 01:00:00,40.92,60.5,6.75,5.02,3.15,47.07,23.97,57,1011,0.51,0.023,0.0377,0.0067
Rajasthan,Jaipur,26.909184,75.79094,2024-01-02 02:00:00,42.07,72.71,6.18,3.85,1.8,83.15,26.68,34,1012,3.09,0.0276,0.0362,0.0174
Tamil Nadu,Chennai,13.076127,80.270132,2024-01-02 03:00:00,25.94,37.37,4.94,2.67,11.64,68.57,29.57,72,1012,3.09,0.0496,0.0241,0.0135
Tamil Nadu,Chennai,13.089403,80.269286,2024-01-02 04:00:00,25.94,37.37,4.94,2.67,11.64,68.57,30.03,70,1012,3.13,0.0029,0.0353,0.0286
Andhra Pradesh,Visakhapatnam,17.68924,83.216847,2024-01-02 05:00:00,8.74,14.18,2.09,2.5,3.04,42.07,30.05,62,1012,5.14,0.0438,0.048,0.0229
Gujarat,Ahmedabad,23.01975,72.57153,2024-01-02 06:00:00,14.25,35.05,3.64,1.74,2.56,54.67,30.09,40,1012,4.45,0.0414,0.0083,0.0325
Karnataka,Bangalore,12.981467,77.604401,2024-01-02 07:00:00,31.17,39.97,4.07,2.81,7.33,116.03,26.92,59,1013,6.26,0.0092,0.0233,0.0046
Uttar Pradesh,Lucknow,26.842099,80.94037,2024-01-02 08:00:00,98.74,116.28,5.05,5.44,8.28,127.12,27.01,47,1011,2.57,0.0498,0.0215,0.0391
Delhi,Delhi,28.611232,77.212046,2024-01-02 09:00:00,40.56,57.72,12.68,5.26,2.71,64.68,25.07,53,1012,1.54,0.0285,0.049,0.0232
Assam,Guwahati,26.139786,91.734397,2024-01-02 10:00:00,56.36,61.68,2.55,4.03,6.76,116.97,23.01,83,1013,3.09,0.0364,0.0164,0.0219
Rajasthan,Jaipur,26.90624,75.789897,2024-01-02 11:00:00,42.07,72.71,6.18,3.85,1.8,83.15,26.68,34,1012,3.09,0.0491,0.0094,0.0101
Bihar,Patna,25.5872,85.12881,2024-01-02 12:00:00,40.98,51.91,2.91,3.49,7.01,119.38,27.98,47,1011,3.6,0.0088,0.0275,0.048
Punjab,Amritsar,31.638038,74.870338,2024-01-02 13:00:00,37.19,56.13,7.14,5.09,2.85,28.62,23.97,57,1011,0.51,0.0285,0.0499,0.0451
Odisha,Bhubaneswar,20.287156,85.817101,2024-01-02 14:00:00,22.45,30.59,2.79,2.91,5.82,62.14,29.95,66,1011,4.63,0.0289,0.0096,0.0355
Tamil Nadu,Chennai,13.088124,80.266254,2024-01-02 15:00:00,25.94,37.37,4.94,2.67,11.64,68.57,30.03,70,1012,3.13,0.0441,0.0387,0.0457
West Bengal,Kolkata,22.581225,88.36963,2024-01-02 16:00:00,18.83,28.67,2.7,3.13,2.93,59.1,27.97,74,1011,4.63,0.0358,0.019,0.045
Gujarat,Ahmedabad,23.023938,72.568864,2024-01-02 17:00:00,16.34,41.23,2.71,1.68,2.61,69.13,30.09,40,1012,4.45,0.0365,0.0201,0.0101
Kerala,Kochi,9.925874,76.260605,2024-01-02 18:00:00,23.12,37.2,0.3,1.34,0.49,69.14,28.85,74,1012,1.79,0.0188,0.0083,0.0325
Karnataka,Bangalore,12.970029,77.593868,2024-01-02 19:00:00,32.33,42.78,7.13,3.39,7.28,98.47,27.04,59,1013,6.26,0.0278,0.0094,0.011
Andhra Pradesh,Visakhapatnam,17.692547,83.218081,2024-01-02 20:00:00,8.74,14.18,2.09,2.5,3.04,42.07,30.05,62,1012,5.14,0.0209,0.0137,0.0031
Odisha,Bhubaneswar,20.302034,85.824221,2024-01-02 21:00:00,22.45,30.59,2.79,2.91,5.82,62.14,29.91,66,1011,4.63,0.0304,0.0272,0.0243
West Bengal,Kolkata,22.570116,88.373872,2024-01-02 22:00:00,23.12,34.03,2.37,3.28,3.07,73.58,27.97,74,1011,4.63,0.0301,0.0099,0.0204
Gujarat,Ahmedabad,23.017557,72.561748,2024-01-02 23:00:00,14.25,35.05,3.64,1.74,2.56,54.67,30.09,40,1012,4.45,0.015,0.0383,0.0058
Gujarat,Ahmedabad,23.021817,72.570992,2024-01-03 00:00:00,16.34,41.23,2.71,1.68,2.61,69.13,30.09,40,1012,4.45,0.0021,0.0025,0.0426
Odisha,Bhubaneswar,20.297831,85.818873,2024-01-03 01:00:00,22.45,30.59,2.79,2.91,5.82,62.14,29.91,66,1011,4.63,0.0344,0.0031,0.0331
Kerala,Kochi,9.927352,76.27591,2024-01-03 02:00:00,23.72,38.15,0.22,1.34,0.5,70.97,28.89,74,1012,1.79,0.0478,0.0238,0.034
Assam,Guwahati,26.138989,91.732147,2024-01-03 03:00:00,57.69,63.03,2.01,3.83,6.78,125.59,23.03,83,1012,3.09,0.0098,0.0217,0.0329
Madhya Pradesh,Bhopal,23.25346,77.419971,2024-01-03 04:00:00,30.18,41.51,4.85,3.89,1.93,52.7,30.06,24,1012,3.19,0.0044,0.012,0.0499
Punjab,Amritsar,31.640959,74.865621,2024-01-03 05:00:00,37.19,56.13,7.14,5.09,2.85,28.62,23.97,57,1011,0.51,0.0148,0.0232,0.0433
West Bengal,Kolkata,22.566479,88.366286,2024-01-03 06:00:00,23.12,34.03,2.37,3.28,3.07,73.58,27.97,74,1011,4.63,0.0317,0.0181,0.0378
Andhra Pradesh,Visakhapatnam,17.680215,83.2284,2024-01-03 07:00:00,8.74,14.18,2.09,2.5,3.04,42.07,29.18,62,1012,5.14,0.0373,0.0458,0.0255
Assam,Guwahati,26.147684,91.729857,2024-01-03 08:00:00,56.36,61.68,2.55,4.03,6.76,116.97,23.01,83,1012,3.09,0.0352,0.0426,0.0328
West Bengal,Kolkata,22.57308,88.359746,2024-01-03 09:00:00,18.83,28.67,2.7,3.13,2.93,59.1,27.95,74,1011,4.63,0.017,0.0038,0.0369
Tamil Nadu,Chennai,13.079397,80.269189,2024-01-03 10:00:00,25.94,37.37,4.94,2.67,11.64,68.57,29.57,72,1012,3.09,0.048,0.0267,0.004
West Bengal,Kolkata,22.566512,88.366177,2024-01-03 11:00:00,23.12,34.03,2.37,3.28,3.07,73.58,27.97,74,1011,4.63,0.0382,0.0477,0.0348
Telangana,Hyderabad,17.390681,78.487259,2024-01-03 12:00:00,35.91,43.75,3.92,2.92,10.61,105.67,28.17,57,1012,3.09,0.0136,0.0066,0.0235
Delhi,Delhi,28.604906,77.216921,2024-01-03 13:00:00,41.35,58.5,10.65,5.09,2.9,85.86,25.1,53,1012,1.54,0.014,0.0411,0.0467
Maharashtra,Mumbai,19.06907,72.873724,2024-01-03 14:00:00,14.5,28.56,1.68,1.45,4.03,57.47,31.01,51,1011,3.6,0.0037,0.0334,0.0154
Bihar,Patna,25.590793,85.128565,2024-01-03 15:00:00,40.98,51.91,2.91,3.49,7.01,119.38,27.98,47,1011,3.6,0.0108,0.0069,0.0013
Karnataka,Bangalore,12.964649,77.604116,2024-01-03 16:00:00,31.17,39.97,4.07,2.81,7.33,116.03,27.45,57,1013,6.26,0.0412,0.0267,0.0441
Rajasthan,Jaipur,26.920131,75.791921,2024-01-03 17:00:00,42.07,72.71,6.18,3.85,1.8,83.15,26.62,34,1012,3.09,0.0174,0.0106,0.0443
Andhra Pradesh,Visakhapatnam,17.687083,83.22232,2024-01-03 18:00:00,8.74,14.18,2.09,2.5,3.04,42.07,30.05,62,1012,5.14,0.0421,0.0099,0.0276
Punjab,Amritsar,31.635829,74.86974,2024-01-03 19:00:00,37.19,56.13,7.14,5.09,2.85,28.62,23.97,57,1011,0.51,0.0313,0.0022,0.034
Karnataka,Bangalore,12.977788,77.598707,2024-01-03 20:00:00,31.17,39.97,4.07,2.81,7.33,116.03,28.35,55,1013,6.26,0.0429,0.0364,0.0175
Telangana,Hyderabad,17.386302,78.479426,2024-01-03 21:00:00,35.91,43.75,3.92,2.92,10.61,105.67,28.19,57,1012,3.09,0.0446,0.0164,0.0283
Madhya Pradesh,Bhopal,23.266379,77.420411,2024-01-03 22:00:00,30.18,41.51,4.85,3.89,1.93,52.7,30.06,24,1012,3.19,0.0257,0.0104,0.0463
West Bengal,Kolkata,22.568606,88.372969,2024-01-03 23:00:00,23.12,34.03,2.37,3.28,3.07,73.58,27.97,74,1011,4.63,0.0172,0.0294,0.0175
Punjab,Amritsar,31.640231,74.874112,2024-01-04 00:00:00,37.19,56.13,7.14,5.09,2.85,28.62,23.97,57,1011,0.51,0.0116,0.0411,0.0444
Kerala,Kochi,9.933357,76.270061,2024-01-04 01:00:00,23.72,38.15,0.22,1.34,0.5,70.97,28.9,74,1012,1.79,0.0118,0.0346,0.0366
Gujarat,Ahmedabad,23.015405,72.563663,2024-01-04 02:00:00,14.25,35.05,3.64,1.74,2.56,54.67,30.09,40,1012,4.45,0.0408,0.0263,0.0166
Tamil Nadu,Chennai,13.089105,80.273968,2024-01-04 03:00:00,25.94,37.37,4.94,2.67,11.64,68.57,30.03,70,1012,3.13,0.0221,0.0259,0.0082
Rajasthan,Jaipur,26.908757,75.789784,2024-01-04 04:00:00,42.07,72.71,6.18,3.85,1.8,83.15,26.68,34,1012,3.09,0.0016,0.0023,0.0339
Rajasthan,Jaipur,26.904293,75.793528,2024-01-04 05:00:00,42.07,72.71,6.18,3.85,1.8,83.15,26.71,34,1012,3.09,0.0363,0.0253,0.0288
Andhra Pradesh,Visakhapatnam,17.688648,83.210458,2024-01-04 06:00:00,9.23,14.71,1.46,2.42,2.88,51.45,29.94,62,1012,5.14,0.0324,0.0207,0.0201
Andhra Pradesh,Visakhapatnam,17.680077,83.220607,2024-01-04 07:00:00,9.23,14.71,1.46,2.42,2.88,51.45,29.62,62,1012,5.14,0.0363,0.0243,0.044
Gujarat,Ahmedabad,23.016733,72.564269,2024-01-04 08:00:00,14.25,35.05,3.64,1.74,2.56,54.67,30.09,40,1012,4.45,0.0066,0.0114,0.0417
Punjab,Amritsar,31.638514,74.871878,2024-01-04 09:00:00,40.92,60.5,6.75,5.02,3.15,47.07,23.97,57,1011,0.51,0.0164,0.0247,0.0108
Rajasthan,Jaipur,26.91425,75.792538,2024-01-04 10:00:00,42.07,72.71,6.18,3.85,1.8,83.15,26.68,34,1012,3.09,0.0462,0.0118,0.0161
Karnataka,Bangalore,12.980994,77.584805,2024-01-04 11:00:00,33.82,43.55,5.28,3.16,7.15,118.02,27.12,57,1013,6.26,0.0107,0.0141,0.0408
Telangana,Hyderabad,17.377613,78.485227,2024-01-04 12:00:00,35.91,43.75,3.92,2.92,10.61,105.67,28.29,57,1012,3.09,0.0486,0.0211,0.0448
Bihar,Patna,25.603231,85.132612,2024-01-04 13:00:00,42.29,52.46,1.79,3.23,5.8,131.86,27.97,47,1010,3.6,0.0211,0.0215,0.0356
Gujarat,Ahmedabad,23.03004,72.573712,2024-01-04 14:00:00,16.34,41.23,2.71,1.68,2.61,69.13,32.21,33,1011,3.73,0.0469,0.0083,0.045
Rajasthan,Jaipur,26.91688,75.789217,2024-01-04 15:00:00,42.07,72.71,6.18,3.85,1.8,83.15,26.62,34,1012,3.09,0.0016,0.0485,0.0263
Andhra Pradesh,Visakhapatnam,17.677455,83.22589,2024-01-04 16:00:00,8.74,14.18,2.09,2.5,3.04,42.07,29.18,62,1012,5.14,0.0212,0.0336,0.0225
Punjab,Amritsar,31.626112,74.868735,2024-01-04 17:00:00,40.92,60.5,6.75,5.02,3.15,47.07,23.95,57,1011,0.51,0.0363,0.0252,0.0179
Gujarat,Ahmedabad,23.016082,72.581059,2024-01-04 18:00:00,16.34,41.23,2.71,1.68,2.61,69.13,32.21,33,1011,3.73,0.0277,0.0411,0.0477
Tamil Nadu,Chennai,13.076271,80.278229,2024-01-04 19:00:00,25.94,37.37,4.94,2.67,11.64,68.57,30.44,71,1012,3.09,0.0188,0.0044,0.0184
Karnataka,Bangalore,12.96343,77.596047,2024-01-04 20:00:00,31.17,39.97,4.07,2.81,7.33,116.03,27.45,57,1013,6.26,0.0155,0.0395,0.0419
Odisha,Bhubaneswar,20.291761,85.829044,2024-01-04 21:00:00,25.33,33.46,2.04,2.91,6.01,76.86,29.97,66,1011,4.63,0.002,0.0069,0.0105
Odisha,Bhubaneswar,20.296721,85.820945,2024-01-04 22:00:00,25.33,33.46,2.04,2.91,6.01,76.86,29.94,66,1011,4.63,0.0495,0.0361,0.0173
Tamil Nadu,Chennai,13.086308,80.267781,2024-01-04 23:00:00,25.94,37.37,4.94,2.67,11.64,68.57,30.03,70,1012,3.13,0.0383,0.0169,0.0353
Kerala,Kochi,9.930569,76.262033,2024-01-05 00:00:00,23.12,37.2,0.3,1.34,0.49,69.14,28.85,74,1012,1.79,0.0375,0.0257,0.0395
Punjab,Amritsar,31.642661,74.874859,2024-01-05 01:00:00,40.92,60.5,6.75,5.02,3.15,47.07,23.97,57,1011,0.51,0.0496,0.0449,0.0282
Uttar Pradesh,Lucknow,26.854746,80.944674,2024-01-05 02:00:00,98.74,116.28,5.05,5.44,8.28,127.12,27.05,47,1011,2.57,0.0078,0.0416,0.002
Bihar,Patna,25.603652,85.13933,2024-01-05 03:00:00,42.29,52.46,1.79,3.23,5.8,131.86,27.97,47,1010,3.6,0.0352,0.0254,0.0294
Karnataka,Bangalore,12.962188,77.595914,2024-01-05 04:00:00,31.17,39.97,4.07,2.81,7.33,116.03,27.45,57,1013,6.26,0.0102,0.0312,0.0179
Telangana,Hyderabad,17.393406,78.485047,2024-01-05 05:00:00,35.91,43.75,3.92,2.92,10.61,105.67,28.17,57,1012,3.09,0.0353,0.0139,0.0361
Punjab,Amritsar,31.625979,74.864074,2024-01-05 06:00:00,40.92,60.5,6.75,5.02,3.15,47.07,23.97,57,1011,0.51,0.0372,0.0481,0.024
Assam,Guwahati,26.150875,91.741281,2024-01-05 07:00:00,56.36,61.68,2.55,4.03,6.76,116.97,23.01,83,1013,3.09,0.0146,0.0218,0.044
Telangana,Hyderabad,17.378994,78.480939,2024-01-05 08:00:00,35.91,43.75,3.92,2.92,10.61,105.67,28.25,57,1012,3.09,0.0042,0.0121,0.0174
Karnataka,Bangalore,12.978293,77.597378,2024-01-05 09:00:00,31.17,39.97,4.07,2.81,7.33,116.03,28.35,55,1013,6.26,0.0386,0.0489,0.0396
West Bengal,Kolkata,22.567143,88.364905,2024-01-05 10:00:00,18.83,28.67,2.7,3.13,2.93,59.1,27.95,74,1011,4.63,0.0074,0.0117,0.0186
Telangana,Hyderabad,17.389923,78.483688,2024-01-05 11:00:00,35.91,43.75,3.92,2.92,10.61,105.67,28.19,57,1012,3.09,0.0315,0.0347,0.0014
Maharashtra,Mumbai,19.081915,72.870398,2024-01-05 12:00:00,15.2,28.48,1.46,1.46,4.29,60.86,31.01,51,1011,3.6,0.01,0.0175,0.0402
Tamil Nadu,Chennai,13.073667,80.272488,2024-01-05 13:00:00,25.94,37.37,4.94,2.67,11.64,68.57,30.01,71,1012,3.13,0.0473,0.044,0.0271
Tamil Nadu,Chennai,13.075501,80.27032,2024-01-05 14:00:00,25.94,37.37,4.94,2.67,11.64,68.57,29.57,72,1012,3.09,0.003,0.0395,0.0037
Rajasthan,Jaipur,26.913106,75.791639,2024-01-05 15:00:00,42.07,72.71,6.18,3.85,1.8,83.15,26.68,34,1012,3.09,0.031,0.009,0.0049
Karnataka,Bangalore,12.963313,77.584936,2024-01-05 16:00:00,33.82,43.55,5.28,3.16,7.15,118.02,27.57,59,1013,1.03,0.0165,0.0139,0.0203
Madhya Pradesh,Bhopal,23.263869,77.420365,2024-01-05 17:00:00,36.96,48.2,3.06,3.63,1.93,80.66,31.57,21,1012,2.04,0.0208,0.0218,0.0052
West Bengal,Kolkata,22.571876,88.366834,2024-01-05 18:00:00,23.12,34.03,2.37,3.28,3.07,73.58,27.97,74,1011,4.63,0.002,0.0313,0.0266
Maharashtra,Mumbai,19.072473,72.886664,2024-01-05 19:00:00,15.2,28.48,1.46,1.46,4.29,60.86,31.03,51,1011,3.6,0.0429,0.0221,0.0201
Tamil Nadu,Chennai,13.075231,80.275296,2024-01-05 20:00:00,25.94,37.37,4.94,2.67,11.64,68.57,30.44,71,1012,3.09,0.0092,0.0432,0.0057
Rajasthan,Jaipur,26.907632,75.782031,2024-01-05 21:00:00,42.07,72.71,6.18,3.85,1.8,83.15,26.71,34,1012,3.09,0.0072,0.0051,0.0055
Madhya Pradesh,Bhopal,23.259863,77.414523,2024-01-05 22:00:00,36.96,48.2,3.06,3.63,1.93,80.66,31.57,21,1012,2.04,0.0036,0.0349,0.0028
Madhya Pradesh,Bhopal,23.252919,77.413774,2024-01-05 23:00:00,30.18,41.51,4.85,3.89,1.93,52.7,30.06,24,1012,3.19,0.0261,0.0379,0.0361
Rajasthan,Jaipur,26.906503,75.793134,2024-01-06 00:00:00,42.07,72.71,6.18,3.85,1.8,83.15,26.68,34,1012,3.09,0.0257,0.0193,0.0133
Odisha,Bhubaneswar,20.290867,85.833945,2024-01-06 01:00:00,25.33,33.46,2.04,2.91,6.01,76.86,29.97,66,1011,4.63,0.045,0.0138,0.0089
Andhra Pradesh,Visakhapatnam,17.67974,83.213431,2024-01-06 02:00:00,9.23,14.71,1.46,2.42,2.88,51.45,29.83,62,1012,5.14,0.0255,0.0488,0.0111
Rajasthan,Jaipur,26.908773,75.794492,2024-01-06 03:00:00,42.07,72.71,6.18,3.85,1.8,83.15,26.68,34,1012,3.09,0.0138,0.0366,0.0436
Punjab,Amritsar,31.631314,74.877505,2024-01-06 04:00:00,40.92,60.5,6.75,5.02,3.15,47.07,23.96,57,1011,0.51,0.0469,0.0451,0.0301
Kerala,Kochi,9.93611,76.266325,2024-01-06 05:00:00,23.72,38.15,0.22,1.34,0.5,70.97,28.9,74,1012,1.79,0.0196,0.0076,0.0037
Maharashtra,Mumbai,19.073767,72.87351,2024-01-06 06:00:00,15.2,28.48,1.46,1.46,4.29,60.86,31.01,51,1011,3.6,0.0058,0.038,0.0389
Gujarat,Ahmedabad,23.013602,72.578004,2024-01-06 07:00:00,14.25,35.05,3.64,1.74,2.56,54.67,30.09,40,1012,4.45,0.0254,0.0307,0.0236
Gujarat,Ahmedabad,23.03159,72.577491,2024-01-06 08:00:00,16.34,41.23,2.71,1.68,2.61,69.13,32.21,33,1011,3.73,0.0472,0.0487,0.0097
Tamil Nadu,Chennai,13.08052,80.27493,2024-01-06 09:00:00,25.94,37.37,4.94,2.67,11.64,68.57,30.42,71,1012,3.09,0.0173,0.0212,0.0046
Delhi,Delhi,28.606945,77.211511,2024-01-06 10:00:00,41.35,58.5,10.65,5.09,2.9,85.86,25.08,53,1012,1.54,0.0061,0.021,0.014
Odisha,Bhubaneswar,20.297158,85.815141,2024-01-06 11:00:00,25.33,33.46,2.04,2.91,6.01,76.86,29.94,66,1011,4.63,0.0456,0.0414,0.0459
Telangana,Hyderabad,17.385495,78.492484,2024-01-06 12:00:00,35.91,43.75,3.92,2.92,10.61,105.67,28.17,57,1012,3.09,0.0309,0.0376,0.0082
Karnataka,Bangalore,12.970105,77.59341,2024-01-06 13:00:00,33.82,43.55,5.28,3.16,7.15,118.02,27.04,59,1013,6.26,0.0425,0.0388,0.0484
Maharashtra,Mumbai,19.085036,72.871592,2024-01-06 14:00:00,15.2,28.48,1.46,1.46,4.29,60.86,31.01,51,1011,3.6,0.0211,0.0057,0.0487
Punjab,Amritsar,31.643762,74.877783,2024-01-06 15:00:00,40.92,60.5,6.75,5.02,3.15,47.07,23.97,57,1011,0.51,0.0481,0.0317,0.0321
Assam,Guwahati,26.143753,91.739717,2024-01-06 16:00:00,57.69,63.03,2.01,3.83,6.78,125.59,22.95,83,1012,3.09,0.0192,0.0451,0.0016
Gujarat,Ahmedabad,23.020318,72.573443,2024-01-06 17:00:00,16.34,41.23,2.71,1.68,2.61,69.13,32.21,33,1011,3.73,0.0254,0.0448,0.0073
Karnataka,Bangalore,12.980523,77.597188,2024-01-06 18:00:00,31.17,39.97,4.07,2.81,7.33,116.03,28.35,55,1013,6.26,0.0122,0.0098,0.0072
Bihar,Patna,25.596521,85.143877,2024-01-06 19:00:00,42.29,52.46,1.79,3.23,5.8,131.86,27.97,47,1010,3.6,0.0263,0.0229,0.0241
Odisha,Bhubaneswar,20.289995,85.832106,2024-01-06 20:00:00,25.33,33.46,2.04,2.91,6.01,76.86,29.97,66,1011,4.63,0.0145,0.0432,0.041
Andhra Pradesh,Visakhapatnam,17.691072,83.225414,2024-01-06 21:00:00,9.23,14.71,1.46,2.42,2.88,51.45,30.02,62,1012,5.14,0.0264,0.0026,0.0376
Telangana,Hyderabad,17.376643,78.486231,2024-01-06 22:00:00,35.91,43.75,3.92,2.92,10.61,105.67,28.29,57,1012,3.09,0.0248,0.0238,0.0305
Delhi,Delhi,28.605451,77.206432,2024-01-06 23:00:00,41.35,58.5,10.65,5.09,2.9,85.86,25.08,53,1012,1.54,0.0411,0.035,0.0395
Bihar,Patna,25.585908,85.138745,2024-01-07 00:00:00,36.55,45.82,1.46,2.83,5.29,129.57,28.99,45,1010,2.06,0.047,0.0233,0.0483
Uttar Pradesh,Lucknow,26.838744,80.948554,2024-01-07 01:00:00,98.74,116.28,5.05,5.44,8.28,127.12,27.03,47,1011,2.57,0.0052,0.0197,0.0201
Uttar Pradesh,Lucknow,26.855657,80.955714,2024-01-07 02:00:00,98.74,116.28,5.05,5.44,8.28,127.12,28.06,42,1011,2.57,0.0331,0.0439,0.012
Telangana,Hyderabad,17.383135,78.481694,2024-01-07 03:00:00,35.91,43.75,3.92,2.92,10.61,105.67,28.25,57,1012,3.09,0.0147,0.0402,0.0011
Rajasthan,Jaipur,26.912713,75.796683,2024-01-07 04:00:00,42.07,72.71,6.18,3.85,1.8,83.15,27.66,30,1012,3.09,0.0439,0.0269,0.0278
West Bengal,Kolkata,22.567402,88.364035,2024-01-07 05:00:00,18.83,28.67,2.7,3.13,2.93,59.1,27.95,74,1011,4.63,0.0182,0.0433,0.0094
