city,lat,lon,timestamp,pm2_5,pm10,no2,co,so2,o3,temp,humidity,wind,wind_dir,dist_road,dist_industry,dist_dump,dist_farm,hour,day_of_week,season,pollution_level,pollution_source
Bangalore,12.9716,77.5946,2026-03-19 16:10:28.876877,38.3,42.56,4.31,339.22,3.22,158.6,30.08,37.0,7.6,312,20.9,366.34,832.89,3479.27,16,3,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-19 17:05:17.169642,31.93,37.34,7.9,302.09,4.27,97.62,24.07,60.0,4.12,290,32.94,2819.91,2069.19,3000.0,17,3,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-19 17:05:19.013173,28.55,83.57,0.07,115.57,0.26,66.97,27.4,62.0,7.89,287,18.56,142.87,3000.0,1921.7,17,3,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-19 17:05:20.340743,34.99,80.15,0.41,134.62,1.37,84.63,25.63,47.0,4.07,297,15.49,1425.74,581.3,2048.67,17,3,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-19 17:05:22.596280,23.01,27.56,2.83,190.78,4.32,115.39,34.17,16.0,2.21,156,3.1,628.44,3000.0,522.66,17,3,Summer,Low,Industrial
Bangalore,12.9716,77.5946,2026-03-19 17:05:23.825849,36.97,41.25,5.93,342.06,3.26,150.96,29.48,37.0,7.15,315,20.9,366.34,832.89,3479.27,17,3,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-19 18:07:53.720852,32.56,38.55,13.05,361.06,3.83,79.81,21.07,94.0,5.14,300,32.94,2819.91,2069.19,3000.0,18,3,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-19 18:07:55.323670,28.41,84.8,0.08,115.64,0.26,65.75,27.24,63.0,6.25,281,18.56,142.87,3000.0,1921.7,18,3,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-19 18:07:56.762337,31.98,80.82,0.72,123.04,0.72,78.25,31.16,26.0,6.88,268,15.49,1425.74,581.3,2048.67,18,3,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-19 18:07:58.553944,23.81,28.62,4.46,206.77,5.77,109.92,32.26,18.0,3.94,143,3.1,628.44,3000.0,522.66,18,3,Summer,Low,Industrial
Bangalore,12.9716,77.5946,2026-03-19 18:07:59.669396,35.93,40.63,8.02,353.31,3.55,140.15,28.99,40.0,5.81,315,20.9,366.34,832.89,3479.27,18,3,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-19 19:04:07.051727,33.92,40.53,13.57,387.82,3.36,73.75,20.07,94.0,5.14,300,32.94,2819.91,2069.19,3000.0,19,3,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-19 19:04:08.783547,28.53,86.64,0.08,115.69,0.29,65.4,27.03,65.0,6.25,281,18.56,142.87,3000.0,1921.7,19,3,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-19 19:04:10.321272,31.98,80.82,0.72,123.04,0.72,78.25,28.38,29.0,0.45,239,15.49,1425.74,581.3,2048.67,19,3,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-19 19:04:12.265219,25.03,30.36,6.3,235.25,7.29,102.72,30.78,21.0,0.67,140,3.1,628.44,3000.0,522.66,19,3,Summer,Low,Industrial
Bangalore,12.9716,77.5946,2026-03-19 19:04:13.580417,35.93,40.63,8.02,353.31,3.55,140.15,28.04,44.0,4.02,9,20.9,366.34,832.89,3479.27,19,3,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-19 20:12:06.398525,34.55,41.42,13.11,403.61,2.83,69.36,19.07,94.0,3.09,320,32.94,2819.91,2069.19,3000.0,20,3,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-19 20:12:08.137387,28.84,88.79,0.09,115.74,0.34,65.96,26.73,66.0,3.48,281,18.56,142.87,3000.0,1921.7,20,3,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-19 20:12:09.764556,30.2,79.01,1.08,122.93,0.87,72.88,27.27,31.0,0.45,240,15.49,1425.74,581.3,2048.67,20,3,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-19 20:12:11.720961,25.91,31.65,7.66,263.42,8.17,96.4,29.95,24.0,1.95,306,3.1,628.44,3000.0,522.66,20,3,Summer,Low,Vehicular
Bangalore,12.9716,77.5946,2026-03-19 20:12:13.159429,40.45,47.35,9.96,410.07,4.91,123.15,27.88,47.0,0.56,38,20.9,366.34,832.89,3479.27,20,3,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-19 22:57:40.525411,32.93,38.72,10.15,407.97,1.77,58.87,18.07,88.0,1.54,40,32.94,2819.91,2069.19,3000.0,22,3,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-19 22:57:42.607787,26.98,81.43,0.09,114.69,0.34,71.47,27.03,65.0,3.6,330,18.56,142.87,3000.0,1921.7,22,3,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-19 22:57:44.246606,30.9,79.01,1.63,126.66,1.68,71.93,23.94,43.0,0.45,232,15.49,1425.74,581.3,2048.67,22,3,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-19 22:57:46.495114,35.94,44.48,12.41,357.32,8.12,75.59,29.0,34.0,1.54,10,3.1,628.44,3000.0,522.66,22,3,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-19 22:57:47.887128,52.13,61.62,11.27,475.51,5.89,108.66,23.97,59.0,6.26,95,20.9,366.34,832.89,3479.27,22,3,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-19 23:35:48.643781,34.5,39.94,10.16,419.58,1.57,51.64,18.07,88.0,1.54,0,32.94,2819.91,2069.19,3000.0,23,3,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-19 23:35:54.492742,26.68,80.32,0.11,114.99,0.43,72.17,27.0,69.0,4.12,350,18.56,142.87,3000.0,1921.7,23,3,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-19 23:35:59.080916,30.97,78.2,1.95,128.92,2.25,71.33,23.38,47.0,2.97,273,15.49,1425.74,581.3,2048.67,23,3,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-19 23:36:05.613288,37.01,45.76,13.21,382.75,7.14,67.17,28.0,34.0,1.54,20,3.1,628.44,3000.0,522.66,23,3,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-19 23:36:09.673256,54.61,64.26,11.28,488.21,5.54,101.22,23.19,65.0,4.47,117,20.9,366.34,832.89,3479.27,23,3,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 00:36:54.550016,35.28,40.16,9.78,420.47,1.22,44.45,18.07,88.0,1.54,0,32.94,2819.91,2069.19,3000.0,0,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 00:36:58.788927,26.4,79.12,0.15,115.42,0.53,72.46,27.0,65.0,4.12,40,18.56,142.87,3000.0,1921.7,0,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 00:37:02.267974,31.24,76.89,2.27,132.2,2.65,70.26,22.83,48.0,0.45,310,15.49,1425.74,581.3,2048.67,0,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 00:37:06.863459,37.07,45.4,12.97,390.42,5.86,60.68,27.0,34.0,1.03,50,3.1,628.44,3000.0,522.66,0,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 00:37:09.950300,55.91,65.13,11.35,493.59,4.76,90.81,22.11,70.0,3.09,90,20.9,366.34,832.89,3479.27,0,4,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 01:37:31.078885,36.02,40.69,9.24,424.28,0.95,36.76,18.07,88.0,1.54,0,32.94,2819.91,2069.19,3000.0,1,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 01:37:36.532430,26.28,78.29,0.21,116.25,0.68,72.21,26.03,57.0,5.66,100,18.56,142.87,3000.0,1921.7,1,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 01:37:39.704228,31.99,75.37,2.57,139.69,2.76,68.71,22.27,52.0,3.17,299,15.49,1425.74,581.3,2048.67,1,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 01:37:44.316914,37.33,45.33,12.41,397.96,4.92,55.03,25.0,41.0,1.54,160,3.1,628.44,3000.0,522.66,1,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 01:37:47.389845,59.95,69.44,11.8,515.08,5.09,86.56,21.57,75.0,3.09,130,20.9,366.34,832.89,3479.27,1,4,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 02:38:07.009256,36.73,41.02,8.56,428.1,0.82,31.01,17.07,94.0,1.54,240,32.94,2819.91,2069.19,3000.0,2,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 02:38:12.743666,26.23,77.48,0.28,117.61,0.85,71.72,25.0,65.0,2.57,50,18.56,142.87,3000.0,1921.7,2,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 02:38:16.126825,33.16,74.17,2.83,148.25,2.85,67.17,22.3,53.0,2.42,284,15.49,1425.74,581.3,2048.67,2,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 02:38:20.730688,37.54,45.23,11.93,405.19,4.22,49.65,25.0,41.0,4.63,0,3.1,628.44,3000.0,522.66,2,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 02:38:23.703050,63.79,73.55,11.87,535.98,5.57,85.29,20.52,80.0,3.58,55,20.9,366.34,832.89,3479.27,2,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 03:38:43.017574,37.29,41.54,8.01,431.99,0.78,26.51,17.07,94.0,1.54,240,32.94,2819.91,2069.19,3000.0,3,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 03:38:48.445575,26.27,77.15,0.33,119.01,1.0,71.65,25.0,65.0,2.06,130,18.56,142.87,3000.0,1921.7,3,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 03:38:51.604204,34.25,72.39,3.08,158.38,2.78,64.7,21.72,55.0,2.61,304,15.49,1425.74,581.3,2048.67,3,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 03:38:56.530467,37.74,45.17,11.61,412.33,3.54,44.19,26.0,41.0,7.72,290,3.1,628.44,3000.0,522.66,3,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 03:38:59.401400,67.46,77.48,11.85,554.42,6.08,84.63,20.55,84.0,4.02,77,20.9,366.34,832.89,3479.27,3,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 04:39:18.352617,37.42,41.76,7.64,434.21,0.78,23.47,17.07,94.0,1.03,0,32.94,2819.91,2069.19,3000.0,4,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 04:39:23.575186,26.42,77.31,0.37,120.45,1.1,71.74,25.0,69.0,1.54,130,18.56,142.87,3000.0,1921.7,4,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 04:39:26.956093,35.63,71.24,3.42,171.68,2.58,61.77,21.72,53.0,0.95,281,15.49,1425.74,581.3,2048.67,4,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 04:39:31.564608,38.35,45.75,11.7,424.93,2.94,38.98,21.0,73.0,7.72,280,3.1,628.44,3000.0,522.66,4,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 04:39:34.435200,71.8,81.93,11.48,571.03,6.48,83.58,20.46,85.0,3.13,90,20.9,366.34,832.89,3479.27,4,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 05:39:53.451993,37.05,41.36,7.72,436.43,0.86,22.01,17.07,94.0,4.63,260,32.94,2819.91,2069.19,3000.0,5,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 05:39:58.671457,26.71,78.13,0.42,121.71,1.21,72.14,25.0,69.0,1.54,140,18.56,142.87,3000.0,1921.7,5,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 05:40:22.882054,37.28,71.22,3.8,184.97,2.56,59.29,21.44,52.5,1.03,0,15.49,1425.74,581.3,2048.67,5,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 05:40:27.347553,39.07,46.64,12.1,439.64,2.65,34.51,21.0,73.0,5.14,310,3.1,628.44,3000.0,522.66,5,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 05:40:30.314593,75.35,85.22,10.95,578.75,6.4,81.49,19.79,88.0,2.24,106,20.9,366.34,832.89,3479.27,5,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 06:40:49.986772,36.75,41.55,9.02,450.16,1.11,20.47,17.07,94.0,4.12,290,32.94,2819.91,2069.19,3000.0,6,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 06:40:55.408436,27.14,79.12,0.5,123.71,1.41,72.25,25.0,73.0,1.54,0,18.56,142.87,3000.0,1921.7,6,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 06:40:58.689811,38.97,72.09,4.24,197.56,2.78,57.88,21.16,52.0,1.11,190,15.49,1425.74,581.3,2048.67,6,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 06:41:03.198118,39.4,47.39,13.06,457.24,2.69,29.69,21.0,68.0,2.57,10,3.1,628.44,3000.0,522.66,6,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 06:41:05.961157,74.38,83.83,10.88,573.68,5.62,78.61,19.21,90.0,1.79,98,20.9,366.34,832.89,3479.27,6,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 07:41:26.225000,36.78,43.22,12.39,488.03,1.46,16.66,17.07,94.0,3.09,270,32.94,2819.91,2069.19,3000.0,7,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 07:41:32.062056,27.6,80.17,0.61,125.56,1.64,72.3,25.0,69.0,1.54,200,18.56,142.87,3000.0,1921.7,7,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 07:41:35.548322,39.82,72.53,4.82,207.81,3.45,58.24,22.27,51.0,0.17,277,15.49,1425.74,581.3,2048.67,7,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 07:41:40.355557,40.07,48.95,14.7,489.19,3.0,25.07,20.0,77.0,1.03,350,3.1,628.44,3000.0,522.66,7,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 07:41:43.530898,72.38,82.79,13.88,599.7,5.93,75.01,20.99,85.0,2.24,106,20.9,366.34,832.89,3479.27,7,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 08:42:03.890506,35.89,43.26,15.15,515.03,1.57,15.12,17.07,94.0,3.6,270,32.94,2819.91,2069.19,3000.0,8,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 08:42:09.728041,27.9,80.54,0.67,126.88,1.8,72.5,26.03,69.0,1.7133333333333334,0,18.56,142.87,3000.0,1921.7,8,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 08:42:13.313353,38.61,70.19,4.92,206.94,4.39,62.44,23.41,50.0,0.45,287,15.49,1425.74,581.3,2048.67,8,4,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-20 08:42:18.126577,41.13,50.7,13.62,520.59,3.36,27.51,22.0,64.0,2.57,100,3.1,628.44,3000.0,522.66,8,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 08:42:21.090687,72.86,84.46,16.22,642.0,6.63,79.98,23.52,74.0,3.13,169,20.9,366.34,832.89,3479.27,8,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 09:43:05.208170,21.84,26.13,7.22,338.53,1.16,56.85,17.07,88.0,1.54,290,32.94,2819.91,2069.19,3000.0,9,4,Summer,Low,Vehicular
Mumbai,19.076,72.8777,2026-03-20 09:43:09.507208,28.01,80.13,0.57,126.74,1.9,72.9,28.0,57.0,1.8866666666666667,0,18.56,142.87,3000.0,1921.7,9,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 09:43:13.093818,31.83,60.29,3.6,167.61,5.46,78.84,28.38,35.0,0.43,59,15.49,1425.74,581.3,2048.67,9,4,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-20 09:43:17.906773,39.28,46.45,7.67,372.41,7.99,73.83,21.0,73.0,1.03,90,3.1,628.44,3000.0,522.66,9,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 09:43:20.876959,60.55,69.98,10.21,528.39,7.71,119.31,25.03,67.0,4.92,191,20.9,366.34,832.89,3479.27,9,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 10:43:49.019522,16.42,20.49,5.73,291.96,1.1,65.3,17.07,94.0,3.09,290,32.94,2819.91,2069.19,3000.0,10,4,Summer,Low,Vehicular
Mumbai,19.076,72.8777,2026-03-20 10:43:54.218074,28.21,79.78,0.39,125.66,1.82,74.09,30.03,42.0,2.06,260,18.56,142.87,3000.0,1921.7,10,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 10:43:58.020613,30.48,57.71,2.46,155.27,5.51,92.26,27.41,37.0,2.71,344,15.49,1425.74,581.3,2048.67,10,4,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-20 10:44:03.140840,41.26,48.15,6.0,343.73,9.23,91.15,22.0,68.0,3.6,140,3.1,628.44,3000.0,522.66,10,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 10:44:06.319313,62.54,71.74,7.05,508.24,7.52,151.13,28.12,54.0,4.92,184,20.9,366.34,832.89,3479.27,10,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 11:44:27.587678,14.2,18.18,5.23,277.7,1.04,67.28,18.07,94.0,2.57,290,32.94,2819.91,2069.19,3000.0,11,4,Summer,Low,Vehicular
Mumbai,19.076,72.8777,2026-03-20 11:44:29.876659,28.6,79.7,0.25,124.4,1.66,74.53,30.0,45.0,4.12,260,18.56,142.87,3000.0,1921.7,11,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 11:44:32.147872,32.5,59.98,1.44,151.89,5.27,102.71,31.72,27.0,0.45,30,15.49,1425.74,581.3,2048.67,11,4,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-20 11:44:35.328747,46.35,53.19,4.86,335.55,9.7,107.29,26.0,57.0,1.54,160,3.1,628.44,3000.0,522.66,11,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 11:44:36.698033,65.79,74.5,4.72,487.01,6.94,172.06,28.49,49.0,2.68,186,20.9,366.34,832.89,3479.27,11,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 12:44:48.423411,12.81,16.56,4.82,269.62,0.95,69.57,18.07,88.0,2.57,290,32.94,2819.91,2069.19,3000.0,12,4,Summer,Low,Vehicular
Mumbai,19.076,72.8777,2026-03-20 12:44:53.645907,28.9,79.36,0.17,122.45,1.39,74.17,31.0,45.0,4.12,290,18.56,142.87,3000.0,1921.7,12,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 12:44:56.868391,33.25,62.03,0.85,147.99,4.43,105.26,30.74,25.0,2.02,332,15.49,1425.74,581.3,2048.67,12,4,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-20 12:45:01.728733,38.4,43.69,2.35,251.28,7.35,129.49,28.0,42.0,1.03,0,3.1,628.44,3000.0,522.66,12,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 12:45:04.809827,55.83,62.91,3.37,408.52,5.21,166.28,29.16,45.0,1.79,262,20.9,366.34,832.89,3479.27,12,4,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 13:45:24.740208,11.67,15.07,4.48,260.36,0.83,70.63,19.07,82.0,2.06,310,32.94,2819.91,2069.19,3000.0,13,4,Summer,Low,Vehicular
Mumbai,19.076,72.8777,2026-03-20 13:45:29.963337,28.97,78.28,0.13,120.97,1.13,73.32,30.0,51.0,4.63,290,18.56,142.87,3000.0,1921.7,13,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 13:45:33.339746,30.82,59.97,0.6,140.96,3.3,101.96,30.78,22.0,2.38,338,15.49,1425.74,581.3,2048.67,13,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 13:45:37.849922,31.48,35.99,1.58,223.81,5.04,131.19,31.0,35.0,1.54,40,3.1,628.44,3000.0,522.66,13,4,Summer,Moderate,Industrial
Bangalore,12.9716,77.5946,2026-03-20 13:45:40.611775,52.0,58.22,3.07,382.98,4.55,166.79,29.83,42.0,3.13,285,20.9,366.34,832.89,3479.27,13,4,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 14:46:00.625798,10.7,13.74,4.13,252.16,0.69,71.77,20.07,83.0,1.54,330,32.94,2819.91,2069.19,3000.0,14,4,Summer,Low,Vehicular
Mumbai,19.076,72.8777,2026-03-20 14:46:05.853359,28.87,76.51,0.11,119.67,0.96,72.02,31.0,48.0,6.17,280,18.56,142.87,3000.0,1921.7,14,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 14:46:09.024327,27.98,57.63,0.5,133.95,2.45,98.22,32.96,18.0,2.76,328,15.49,1425.74,581.3,2048.67,14,4,Summer,Low,Natural
Nagpur,21.1458,79.0882,2026-03-20 14:46:13.522179,29.5,33.85,1.51,216.05,4.38,130.49,32.0,23.0,1.54,300,3.1,628.44,3000.0,522.66,14,4,Summer,Low,Industrial
Bangalore,12.9716,77.5946,2026-03-20 14:46:16.395770,48.79,54.48,3.07,366.87,4.15,166.76,30.48,40.0,4.02,283,20.9,366.34,832.89,3479.27,14,4,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 15:46:35.342073,9.8,12.56,3.76,246.0,0.57,73.04,21.07,73.0,1.03,0,32.94,2819.91,2069.19,3000.0,15,4,Summer,Low,Natural
Mumbai,19.076,72.8777,2026-03-20 15:46:40.052277,28.32,73.39,0.1,119.2,0.81,70.67,30.0,48.0,6.69,290,18.56,142.87,3000.0,1921.7,15,4,Summer,Low,Natural
