location,latitude,longitude,pm2_5,pm10,no2,co,so2,o3,timestamp
Visakhapatnam,17.6868,83.2185,32,113,27,389,30,46,2026-04-04 20:18:08.504776
Visakhapatnam,17.6868,83.2185,112,141,47,330,24,70,2026-04-04 19:18:08.504779
Visakhapatnam,17.6868,83.2185,56,93,21,370,13,18,2026-04-04 18:18:08.504783
Visakhapatnam,17.6868,83.2185,67,126,35,358,8,54,2026-04-04 17:18:08.504787
Visakhapatnam,17.6868,83.2185,98,66,32,213,23,53,2026-04-04 16:18:08.504790
Visakhapatnam,17.6868,83.2185,41,130,39,191,27,63,2026-04-04 15:18:08.504794
Visakhapatnam,17.6868,83.2185,78,44,22,190,2,66,2026-04-04 14:18:08.504797
Visakhapatnam,17.6868,83.2185,115,34,24,357,30,51,2026-04-04 13:18:08.504800
Visakhapatnam,17.6868,83.2185,24,76,50,286,23,46,2026-04-04 12:18:08.504804
Visakhapatnam,17.6868,83.2185,98,85,22,235,25,20,2026-04-04 11:18:08.504807
Visakhapatnam,17.6868,83.2185,56,77,21,284,2,72,2026-04-04 10:18:08.504811
Visakhapatnam,17.6868,83.2185,77,70,10,215,20,69,2026-04-04 09:18:08.504814
Visakhapatnam,17.6868,83.2185,56,88,25,197,17,49,2026-04-04 08:18:08.504818
Visakhapatnam,17.6868,83.2185,21,130,14,300,5,12,2026-04-04 07:18:08.504821
Visakhapatnam,17.6868,83.2185,83,130,14,188,28,46,2026-04-04 06:18:08.504827
Visakhapatnam,17.6868,83.2185,117,63,20,386,13,69,2026-04-04 05:18:08.504833
Visakhapatnam,17.6868,83.2185,77,147,25,315,11,22,2026-04-04 04:18:08.504839
Visakhapatnam,17.6868,83.2185,88,114,6,390,19,68,2026-04-04 03:18:08.504845
Visakhapatnam,17.6868,83.2185,46,105,47,198,16,49,2026-04-04 02:18:08.504850
Visakhapatnam,17.6868,83.2185,48,36,41,215,8,33,2026-04-04 01:18:08.504854
Visakhapatnam,17.6868,83.2185,48,41,6,232,11,25,2026-04-04 00:18:08.504858
Visakhapatnam,17.6868,83.2185,93,128,45,346,27,39,2026-04-03 23:18:08.504861
Visakhapatnam,17.6868,83.2185,73,91,46,144,20,70,2026-04-03 22:18:08.504865
Visakhapatnam,17.6868,83.2185,103,85,29,151,21,46,2026-04-03 21:18:08.504868
Visakhapatnam,17.6868,83.2185,23,73,28,233,16,31,2026-04-03 20:18:08.504872
Visakhapatnam,17.6868,83.2185,92,47,46,282,28,27,2026-04-03 19:18:08.504876
Visakhapatnam,17.6868,83.2185,44,56,42,357,19,18,2026-04-03 18:18:08.504881
Visakhapatnam,17.6868,83.2185,64,139,20,303,30,46,2026-04-03 17:18:08.504885
Visakhapatnam,17.6868,83.2185,47,81,10,133,4,78,2026-04-03 16:18:08.504889
Visakhapatnam,17.6868,83.2185,58,120,10,166,17,12,2026-04-03 15:18:08.504892
Visakhapatnam,17.6868,83.2185,89,127,13,305,7,43,2026-04-03 14:18:08.504896
Visakhapatnam,17.6868,83.2185,91,79,12,306,2,43,2026-04-03 13:18:08.504899
Visakhapatnam,17.6868,83.2185,47,63,45,192,4,53,2026-04-03 12:18:08.504904
Visakhapatnam,17.6868,83.2185,72,83,7,333,3,39,2026-04-03 11:18:08.504908
Visakhapatnam,17.6868,83.2185,31,54,33,176,3,63,2026-04-03 10:18:08.504911
Visakhapatnam,17.6868,83.2185,35,40,46,331,20,40,2026-04-03 09:18:08.504915
Visakhapatnam,17.6868,83.2185,119,146,37,245,28,30,2026-04-03 08:18:08.504918
Visakhapatnam,17.6868,83.2185,99,131,45,184,30,79,2026-04-03 07:18:08.504921
Visakhapatnam,17.6868,83.2185,97,39,5,198,15,52,2026-04-03 06:18:08.504925
Visakhapatnam,17.6868,83.2185,42,63,47,284,13,11,2026-04-03 05:18:08.504929
Visakhapatnam,17.6868,83.2185,66,68,27,306,3,36,2026-04-03 04:18:08.504934
Visakhapatnam,17.6868,83.2185,21,59,14,355,17,32,2026-04-03 03:18:08.504939
Visakhapatnam,17.6868,83.2185,88,31,48,239,6,63,2026-04-03 02:18:08.504946
Visakhapatnam,17.6868,83.2185,74,76,30,209,9,63,2026-04-03 01:18:08.504952
Visakhapatnam,17.6868,83.2185,41,143,18,397,27,52,2026-04-03 00:18:08.504956
Visakhapatnam,17.6868,83.2185,59,39,10,282,20,43,2026-04-02 23:18:08.504960
Visakhapatnam,17.6868,83.2185,120,149,25,370,11,80,2026-04-02 22:18:08.504963
Visakhapatnam,17.6868,83.2185,65,123,20,379,25,74,2026-04-02 21:18:08.504967
Visakhapatnam,17.6868,83.2185,119,86,45,182,25,57,2026-04-02 20:18:08.504970
Visakhapatnam,17.6868,83.2185,51,49,33,202,13,59,2026-04-02 19:18:08.504974
Visakhapatnam,17.6868,83.2185,67,48,49,198,25,18,2026-04-02 18:18:08.504977
Visakhapatnam,17.6868,83.2185,118,49,38,208,21,46,2026-04-02 17:18:08.504981
Visakhapatnam,17.6868,83.2185,102,97,47,177,17,17,2026-04-02 16:18:08.504984
Visakhapatnam,17.6868,83.2185,47,121,49,389,26,10,2026-04-02 15:18:08.504988
Visakhapatnam,17.6868,83.2185,70,72,22,234,13,32,2026-04-02 14:18:08.504991
Visakhapatnam,17.6868,83.2185,63,53,14,187,19,28,2026-04-02 13:18:08.504994
Visakhapatnam,17.6868,83.2185,56,122,8,225,6,16,2026-04-02 12:18:08.504997
Visakhapatnam,17.6868,83.2185,101,100,10,309,5,73,2026-04-02 11:18:08.505001
Visakhapatnam,17.6868,83.2185,120,134,37,181,18,40,2026-04-02 10:18:08.505005
Visakhapatnam,17.6868,83.2185,119,149,23,178,20,25,2026-04-02 09:18:08.505008
Visakhapatnam,17.6868,83.2185,58,35,14,350,5,20,2026-04-02 08:18:08.505012
Visakhapatnam,17.6868,83.2185,98,90,16,102,29,23,2026-04-02 07:18:08.505015
Visakhapatnam,17.6868,83.2185,98,137,48,284,3,31,2026-04-02 06:18:08.505019
Visakhapatnam,17.6868,83.2185,88,75,50,290,13,75,2026-04-02 05:18:08.505022
Visakhapatnam,17.6868,83.2185,109,107,41,154,12,80,2026-04-02 04:18:08.505026
Visakhapatnam,17.6868,83.2185,118,72,18,128,16,74,2026-04-02 03:18:08.505029
Visakhapatnam,17.6868,83.2185,96,96,14,367,11,51,2026-04-02 02:18:08.505034
Visakhapatnam,17.6868,83.2185,97,66,6,268,23,27,2026-04-02 01:18:08.505040
Visakhapatnam,17.6868,83.2185,58,79,26,281,24,33,2026-04-02 00:18:08.505046
Visakhapatnam,17.6868,83.2185,99,119,19,372,4,73,2026-04-01 23:18:08.505052
Visakhapatnam,17.6868,83.2185,77,64,39,222,29,50,2026-04-01 22:18:08.505057
Visakhapatnam,17.6868,83.2185,42,145,26,376,4,74,2026-04-01 21:18:08.505060
Visakhapatnam,17.6868,83.2185,78,95,23,289,12,41,2026-04-01 20:18:08.505064
Visakhapatnam,17.6868,83.2185,82,121,45,375,8,28,2026-04-01 19:18:08.505067
Visakhapatnam,17.6868,83.2185,85,124,25,371,16,55,2026-04-01 18:18:08.505071
Visakhapatnam,17.6868,83.2185,23,99,37,190,20,17,2026-04-01 17:18:08.505075
Visakhapatnam,17.6868,83.2185,91,40,16,126,3,78,2026-04-01 16:18:08.505078
Visakhapatnam,17.6868,83.2185,114,126,13,361,7,41,2026-04-01 15:18:08.505082
Visakhapatnam,17.6868,83.2185,69,36,14,160,20,18,2026-04-01 14:18:08.505086
Visakhapatnam,17.6868,83.2185,100,69,12,257,13,40,2026-04-01 13:18:08.505089
Visakhapatnam,17.6868,83.2185,79,61,41,250,4,35,2026-04-01 12:18:08.505092
Visakhapatnam,17.6868,83.2185,69,150,16,289,25,29,2026-04-01 11:18:08.505096
Visakhapatnam,17.6868,83.2185,53,88,38,167,19,24,2026-04-01 10:18:08.505099
Visakhapatnam,17.6868,83.2185,63,146,41,229,19,21,2026-04-01 09:18:08.505103
Visakhapatnam,17.6868,83.2185,73,126,44,334,28,36,2026-04-01 08:18:08.505106
Visakhapatnam,17.6868,83.2185,44,121,13,209,30,28,2026-04-01 07:18:08.505109
Visakhapatnam,17.6868,83.2185,56,124,38,253,14,38,2026-04-01 06:18:08.505113
Visakhapatnam,17.6868,83.2185,87,91,9,178,20,28,2026-04-01 05:18:08.505117
Visakhapatnam,17.6868,83.2185,59,77,24,210,7,40,2026-04-01 04:18:08.505120
Visakhapatnam,17.6868,83.2185,98,102,8,371,9,41,2026-04-01 03:18:08.505123
Visakhapatnam,17.6868,83.2185,44,121,44,397,25,16,2026-04-01 02:18:08.505127
Visakhapatnam,17.6868,83.2185,85,74,8,191,27,17,2026-04-01 01:18:08.505130
Visakhapatnam,17.6868,83.2185,107,33,15,281,19,77,2026-04-01 00:18:08.505135
Visakhapatnam,17.6868,83.2185,53,62,33,256,15,20,2026-03-31 23:18:08.505140
Visakhapatnam,17.6868,83.2185,119,96,28,286,7,66,2026-03-31 22:18:08.505146
Visakhapatnam,17.6868,83.2185,36,34,42,335,16,38,2026-03-31 21:18:08.505152
Visakhapatnam,17.6868,83.2185,80,150,35,118,2,43,2026-03-31 20:18:08.505158
Visakhapatnam,17.6868,83.2185,58,68,27,267,8,62,2026-03-31 19:18:08.505161
Visakhapatnam,17.6868,83.2185,83,80,17,306,29,19,2026-03-31 18:18:08.505165
Visakhapatnam,17.6868,83.2185,112,107,8,153,20,23,2026-03-31 17:18:08.505168
Visakhapatnam,17.6868,83.2185,39,60,39,217,4,18,2026-03-31 16:18:08.505172
Visakhapatnam,17.6868,83.2185,53,77,10,257,30,22,2026-03-31 15:18:08.505176
Visakhapatnam,17.6868,83.2185,103,140,37,388,21,70,2026-03-31 14:18:08.505179
Visakhapatnam,17.6868,83.2185,79,82,18,161,28,40,2026-03-31 13:18:08.505182
Visakhapatnam,17.6868,83.2185,88,130,46,146,23,30,2026-03-31 12:18:08.505186
Visakhapatnam,17.6868,83.2185,53,116,20,159,29,37,2026-03-31 11:18:08.505189
Visakhapatnam,17.6868,83.2185,91,130,36,193,26,33,2026-03-31 10:18:08.505193
Visakhapatnam,17.6868,83.2185,25,126,9,116,13,32,2026-03-31 09:18:08.505196
Visakhapatnam,17.6868,83.2185,110,70,12,322,15,34,2026-03-31 08:18:08.505200
Visakhapatnam,17.6868,83.2185,73,150,49,218,12,24,2026-03-31 07:18:08.505203
Visakhapatnam,17.6868,83.2185,80,31,36,351,30,63,2026-03-31 06:18:08.505206
Visakhapatnam,17.6868,83.2185,94,72,30,203,2,38,2026-03-31 05:18:08.505209
Visakhapatnam,17.6868,83.2185,87,84,29,222,4,33,2026-03-31 04:18:08.505213
Visakhapatnam,17.6868,83.2185,116,86,11,132,17,21,2026-03-31 03:18:08.505216
Visakhapatnam,17.6868,83.2185,92,53,48,105,30,38,2026-03-31 02:18:08.505220
Visakhapatnam,17.6868,83.2185,77,44,38,395,20,26,2026-03-31 01:18:08.505223
Visakhapatnam,17.6868,83.2185,85,116,38,161,18,24,2026-03-31 00:18:08.505227
Visakhapatnam,17.6868,83.2185,39,68,50,338,15,43,2026-03-30 23:18:08.505230
Visakhapatnam,17.6868,83.2185,108,133,32,390,16,72,2026-03-30 22:18:08.505235
Visakhapatnam,17.6868,83.2185,85,46,25,127,21,12,2026-03-30 21:18:08.505241
Visakhapatnam,17.6868,83.2185,82,40,22,120,29,17,2026-03-30 20:18:08.505246
Visakhapatnam,17.6868,83.2185,106,99,42,337,9,38,2026-03-30 19:18:08.505253
Visakhapatnam,17.6868,83.2185,53,56,42,352,8,71,2026-03-30 18:18:08.505258
Visakhapatnam,17.6868,83.2185,39,101,35,208,16,30,2026-03-30 17:18:08.505262
Visakhapatnam,17.6868,83.2185,33,128,45,360,15,28,2026-03-30 16:18:08.505266
Visakhapatnam,17.6868,83.2185,57,139,18,359,12,57,2026-03-30 15:18:08.505269
Visakhapatnam,17.6868,83.2185,33,111,38,243,29,65,2026-03-30 14:18:08.505273
Visakhapatnam,17.6868,83.2185,91,52,18,311,10,73,2026-03-30 13:18:08.505277
Visakhapatnam,17.6868,83.2185,50,60,32,304,7,78,2026-03-30 12:18:08.505280
Visakhapatnam,17.6868,83.2185,77,111,7,140,25,79,2026-03-30 11:18:08.505283
Visakhapatnam,17.6868,83.2185,84,136,24,335,21,35,2026-03-30 10:18:08.505287
Visakhapatnam,17.6868,83.2185,111,60,48,111,3,33,2026-03-30 09:18:08.505291
Visakhapatnam,17.6868,83.2185,38,135,13,316,28,26,2026-03-30 08:18:08.505295
Visakhapatnam,17.6868,83.2185,43,120,35,234,30,72,2026-03-30 07:18:08.505298
Visakhapatnam,17.6868,83.2185,109,66,25,320,28,15,2026-03-30 06:18:08.505302
Visakhapatnam,17.6868,83.2185,25,136,31,314,7,63,2026-03-30 05:18:08.505305
Visakhapatnam,17.6868,83.2185,77,43,7,228,11,70,2026-03-30 04:18:08.505308
Visakhapatnam,17.6868,83.2185,79,37,30,201,10,47,2026-03-30 03:18:08.505312
Visakhapatnam,17.6868,83.2185,70,57,6,371,27,49,2026-03-30 02:18:08.505316
Visakhapatnam,17.6868,83.2185,98,36,5,159,27,22,2026-03-30 01:18:08.505319
Visakhapatnam,17.6868,83.2185,85,98,38,306,12,47,2026-03-30 00:18:08.505323
Visakhapatnam,17.6868,83.2185,44,100,19,222,12,15,2026-03-29 23:18:08.505326
Visakhapatnam,17.6868,83.2185,94,75,13,383,10,70,2026-03-29 22:18:08.505330
Visakhapatnam,17.6868,83.2185,89,57,16,133,13,62,2026-03-29 21:18:08.505334
Visakhapatnam,17.6868,83.2185,39,104,26,216,5,41,2026-03-29 20:18:08.505339
Visakhapatnam,17.6868,83.2185,103,106,37,265,25,46,2026-03-29 19:18:08.505345
Visakhapatnam,17.6868,83.2185,33,35,8,231,19,33,2026-03-29 18:18:08.505351
Visakhapatnam,17.6868,83.2185,86,141,48,391,20,33,2026-03-29 17:18:08.505357
Visakhapatnam,17.6868,83.2185,83,142,50,299,6,51,2026-03-29 16:18:08.505361
Visakhapatnam,17.6868,83.2185,62,148,21,295,16,60,2026-03-29 15:18:08.505364
Visakhapatnam,17.6868,83.2185,109,110,37,322,6,66,2026-03-29 14:18:08.505368
Visakhapatnam,17.6868,83.2185,24,69,49,297,23,50,2026-03-29 13:18:08.505372
Visakhapatnam,17.6868,83.2185,96,118,38,369,21,31,2026-03-29 12:18:08.505375
Visakhapatnam,17.6868,83.2185,80,71,35,264,10,62,2026-03-29 11:18:08.505379
Visakhapatnam,17.6868,83.2185,28,47,8,347,11,71,2026-03-29 10:18:08.505382
Visakhapatnam,17.6868,83.2185,41,120,36,325,19,68,2026-03-29 09:18:08.505385
Visakhapatnam,17.6868,83.2185,59,67,10,217,29,71,2026-03-29 08:18:08.505389
Visakhapatnam,17.6868,83.2185,111,80,29,291,26,12,2026-03-29 07:18:08.505392
Visakhapatnam,17.6868,83.2185,76,48,48,217,12,44,2026-03-29 06:18:08.505396
Visakhapatnam,17.6868,83.2185,27,32,20,380,29,20,2026-03-29 05:18:08.505399
Visakhapatnam,17.6868,83.2185,55,142,35,149,15,71,2026-03-29 04:18:08.505403
Visakhapatnam,17.6868,83.2185,62,123,44,380,26,65,2026-03-29 03:18:08.505406
Visakhapatnam,17.6868,83.2185,93,57,14,298,24,58,2026-03-29 02:18:08.505409
Visakhapatnam,17.6868,83.2185,91,51,45,206,2,65,2026-03-29 01:18:08.505413
Visakhapatnam,17.6868,83.2185,73,58,19,276,23,52,2026-03-29 00:18:08.505416
Visakhapatnam,17.6868,83.2185,81,93,34,381,9,49,2026-03-28 23:18:08.505420
Visakhapatnam,17.6868,83.2185,81,123,46,325,23,21,2026-03-28 22:18:08.505424
Visakhapatnam,17.6868,83.2185,77,96,48,342,5,71,2026-03-28 21:18:08.505427
Visakhapatnam,17.6868,83.2185,108,43,18,180,14,70,2026-03-28 20:18:08.505430
Visakhapatnam,17.6868,83.2185,116,63,29,313,2,19,2026-03-28 19:18:08.505435
Visakhapatnam,17.6868,83.2185,102,109,28,337,26,51,2026-03-28 18:18:08.505440
Visakhapatnam,17.6868,83.2185,92,32,41,247,10,59,2026-03-28 17:18:08.505446
Visakhapatnam,17.6868,83.2185,36,37,5,230,28,66,2026-03-28 16:18:08.505452
Visakhapatnam,17.6868,83.2185,48,72,11,100,30,42,2026-03-28 15:18:08.505458
Visakhapatnam,17.6868,83.2185,87,128,11,239,7,47,2026-03-28 14:18:08.505461
Visakhapatnam,17.6868,83.2185,103,147,30,164,15,45,2026-03-28 13:18:08.505465
Visakhapatnam,17.6868,83.2185,42,32,16,275,9,69,2026-03-28 12:18:08.505468
Visakhapatnam,17.6868,83.2185,87,82,10,329,13,55,2026-03-28 11:18:08.505472
Visakhapatnam,17.6868,83.2185,20,129,17,199,5,18,2026-03-28 10:18:08.505476
Visakhapatnam,17.6868,83.2185,108,118,28,183,5,36,2026-03-28 09:18:08.505479
Visakhapatnam,17.6868,83.2185,46,47,43,196,12,18,2026-03-28 08:18:08.505482
Visakhapatnam,17.6868,83.2185,24,133,15,310,5,58,2026-03-28 07:18:08.505486
Visakhapatnam,17.6868,83.2185,58,73,24,216,21,14,2026-03-28 06:18:08.505490
Visakhapatnam,17.6868,83.2185,92,93,40,200,30,69,2026-03-28 05:18:08.505493
Visakhapatnam,17.6868,83.2185,25,34,46,203,6,63,2026-03-28 04:18:08.505497
Visakhapatnam,17.6868,83.2185,57,30,16,131,29,49,2026-03-28 03:18:08.505504
Visakhapatnam,17.6868,83.2185,42,50,27,321,28,56,2026-03-28 02:18:08.505508
Visakhapatnam,17.6868,83.2185,96,123,24,292,10,26,2026-03-28 01:18:08.505511
Visakhapatnam,17.6868,83.2185,26,56,22,127,6,44,2026-03-28 00:18:08.505515
Mumbai,19.076,72.8777,97,44,13,176,19,67,2026-04-06 23:18:08.505522
Mumbai,19.076,72.8777,76,67,9,301,3,76,2026-04-06 22:18:08.505526
Mumbai,19.076,72.8777,64,145,42,211,26,62,2026-04-06 21:18:08.505530
Mumbai,19.076,72.8777,68,43,42,103,9,67,2026-04-06 20:18:08.505534
Mumbai,19.076,72.8777,63,80,31,240,2,55,2026-04-06 19:18:08.505540
Mumbai,19.076,72.8777,112,144,8,164,6,52,2026-04-06 18:18:08.505545
Mumbai,19.076,72.8777,70,32,15,274,27,23,2026-04-06 17:18:08.505551
Mumbai,19.076,72.8777,98,52,14,292,2,20,2026-04-06 16:18:08.505557
Mumbai,19.076,72.8777,67,125,48,325,27,37,2026-04-06 15:18:08.505561
Mumbai,19.076,72.8777,68,148,26,225,21,36,2026-04-06 14:18:08.505565
Mumbai,19.076,72.8777,48,34,47,376,2,69,2026-04-06 13:18:08.505568
Mumbai,19.076,72.8777,46,101,48,315,4,38,2026-04-06 12:18:08.505572
Mumbai,19.076,72.8777,67,57,12,253,22,21,2026-04-06 11:18:08.505575
Mumbai,19.076,72.8777,31,134,6,383,27,15,2026-04-06 10:18:08.505579
Mumbai,19.076,72.8777,47,39,29,126,20,31,2026-04-06 09:18:08.505582
Mumbai,19.076,72.8777,105,119,13,123,18,53,2026-04-06 08:18:08.505587
Mumbai,19.076,72.8777,55,59,12,252,18,71,2026-04-06 07:18:08.505591
Mumbai,19.076,72.8777,67,58,31,144,19,16,2026-04-06 06:18:08.505594
Mumbai,19.076,72.8777,53,85,14,203,28,68,2026-04-06 05:18:08.505598
Mumbai,19.076,72.8777,31,60,26,273,12,44,2026-04-06 04:18:08.505601
Mumbai,19.076,72.8777,61,85,33,157,9,77,2026-04-06 03:18:08.505605
Mumbai,19.076,72.8777,88,89,7,111,29,26,2026-04-06 02:18:08.505609
Mumbai,19.076,72.8777,39,77,48,132,8,65,2026-04-06 01:18:08.505612
Mumbai,19.076,72.8777,24,149,13,236,3,24,2026-04-06 00:18:08.505615
Mumbai,19.076,72.8777,116,149,23,185,15,73,2026-04-05 23:18:08.505619
Mumbai,19.076,72.8777,113,101,21,352,17,71,2026-04-05 22:18:08.505622
Mumbai,19.076,72.8777,105,116,6,282,24,47,2026-04-05 21:18:08.505626
Mumbai,19.076,72.8777,119,121,36,254,3,24,2026-04-05 20:18:08.505629
Mumbai,19.076,72.8777,59,88,42,312,27,30,2026-04-05 19:18:08.505632
Mumbai,19.076,72.8777,43,83,42,260,23,21,2026-04-05 18:18:08.505638
Mumbai,19.076,72.8777,29,115,30,267,25,72,2026-04-05 17:18:08.505644
Mumbai,19.076,72.8777,30,41,27,367,6,73,2026-04-05 16:18:08.505652
Mumbai,19.076,72.8777,28,106,19,242,10,74,2026-04-05 15:18:08.505657
Mumbai,19.076,72.8777,110,66,28,321,5,71,2026-04-05 14:18:08.505661
Mumbai,19.076,72.8777,25,144,28,250,19,71,2026-04-05 13:18:08.505664
Mumbai,19.076,72.8777,108,146,10,275,26,34,2026-04-05 12:18:08.505673
Mumbai,19.076,72.8777,107,99,39,363,29,16,2026-04-05 11:18:08.505677
Mumbai,19.076,72.8777,33,86,8,228,21,52,2026-04-05 10:18:08.505680
Mumbai,19.076,72.8777,35,139,35,179,20,58,2026-04-05 09:18:08.505683
Mumbai,19.076,72.8777,29,138,21,327,5,55,2026-04-05 08:18:08.505687
Mumbai,19.076,72.8777,27,47,26,120,25,69,2026-04-05 07:18:08.505690
Mumbai,19.076,72.8777,91,108,7,201,3,61,2026-04-05 06:18:08.505694
Mumbai,19.076,72.8777,61,140,27,240,26,60,2026-04-05 05:18:08.505697
Mumbai,19.076,72.8777,54,54,20,353,27,50,2026-04-05 04:18:08.505701
Mumbai,19.076,72.8777,55,56,18,168,6,39,2026-04-05 03:18:08.505704
Mumbai,19.076,72.8777,53,122,26,370,14,24,2026-04-05 02:18:08.505708
Mumbai,19.076,72.8777,63,91,17,331,25,12,2026-04-05 01:18:08.505711
Mumbai,19.076,72.8777,112,146,17,305,19,28,2026-04-05 00:18:08.505715
Mumbai,19.076,72.8777,32,67,12,323,20,42,2026-04-04 23:18:08.505718
Mumbai,19.076,72.8777,81,129,6,314,5,24,2026-04-04 22:18:08.505722
Mumbai,19.076,72.8777,60,135,43,184,24,46,2026-04-04 21:18:08.505725
Mumbai,19.076,72.8777,73,88,41,242,16,46,2026-04-04 20:18:08.505728
Mumbai,19.076,72.8777,85,61,15,219,17,16,2026-04-04 19:18:08.505732
Mumbai,19.076,72.8777,92,72,48,203,26,32,2026-04-04 18:18:08.505737
Mumbai,19.076,72.8777,97,65,49,239,13,60,2026-04-04 17:18:08.505744
Mumbai,19.076,72.8777,107,45,48,399,17,13,2026-04-04 16:18:08.505749
Mumbai,19.076,72.8777,61,43,7,242,2,51,2026-04-04 15:18:08.505755
Mumbai,19.076,72.8777,114,65,11,393,17,57,2026-04-04 14:18:08.505760
Mumbai,19.076,72.8777,58,114,15,245,25,77,2026-04-04 13:18:08.505763
Mumbai,19.076,72.8777,35,111,28,255,22,74,2026-04-04 12:18:08.505767
Mumbai,19.076,72.8777,116,136,5,397,13,42,2026-04-04 11:18:08.505771
